def(XML_TRACE),
!def(DOT_ALL_FSA_INPUTS),
def(MSG_LOG),
def(FSA_TRACE),
def(DOT_FSA_ACTIONS),
def(DOT_ALL_FSA_INPUTS),
True,
!def(USE_BUGGY_LIBXML),
