def(HAVE_NET_IF_H),
def(HAVE_GNUTLS_GNUTLS_H),
def(FSA_TRACE),
True,
!def(USE_BUGGY_LIBXML),
def(XML_TRACE),
def(HAVE_GETOPT_H),
