def(DOT_ALL_FSA_INPUTS),
def(DOT_FSA_ACTIONS),
def(FSA_TRACE),
True,
!def(USE_BUGGY_LIBXML),
def(XML_TRACE),
!def(DOT_ALL_FSA_INPUTS),
def(MSG_LOG),
!def(INTEGRATED_CIB),
def(INTEGRATED_CIB),
