def(HAVE_SYS_SIGNALFD_H),
def(HAVE_NET_IF_H),
!def(HAVE_GNUTLS_GNUTLS_H),
def(HAVE_SYS_TIMEB_H),
def(HAVE_GETOPT_H),
def(HAVE_ATOMIC_ATTRD),
!def(HAVE_G_LOG_SET_DEFAULT_HANDLER),
True,
def(SUPPORT_REMOTE),
!def(SUPPORT_CS_QUORUM),
def(FSA_TRACE),
def(HAVE_IPCS_GET_BUFFER_SIZE),
