def(HAVE_GETOPT_H),
def(XML_TRACE),
!def(TESTING),
def(TESTING),
!def(USE_BUGGY_LIBXML),
!def(HAVE_ENVIRON_DECL),
True,
def(HAVE_NET_IF_H),
