def(DOT_FSA_ACTIONS),
def(MSG_LOG),
def(XML_TRACE),
True,
def(FSA_TRACE),
def(DOT_ALL_FSA_INPUTS),
!def(USE_BUGGY_LIBXML),
!def(DOT_ALL_FSA_INPUTS),
