def(MSG_LOG),
def(DOT_ALL_FSA_INPUTS),
!def(INTEGRATED_CIB),
def(XML_TRACE),
!def(USE_BUGGY_LIBXML),
!def(DOT_ALL_FSA_INPUTS),
def(FSA_TRACE),
True,
def(INTEGRATED_CIB),
def(DOT_FSA_ACTIONS),
