def(FSA_TRACE),
True,
def(XML_TRACE),
!def(USE_BUGGY_LIBXML),
def(MSG_LOG),
def(DOT_ALL_FSA_INPUTS),
def(DOT_FSA_ACTIONS),
!def(DOT_ALL_FSA_INPUTS),
