!def(SUPPORT_CS_QUORUM),
def(HAVE_SYS_SIGNALFD_H),
def(SCHED_RR),
def(HAVE_GNUTLS_GNUTLS_H),
def(_POSIX_MEMLOCK),
def(FSA_TRACE),
!def(HAVE_GNUTLS_GNUTLS_H),
!def(HAVE_G_LOG_SET_DEFAULT_HANDLER),
def(HAVE_GETOPT_H),
def(HAVE_IPCS_GET_BUFFER_SIZE),
def(HAVE_SYS_TIMEB_H),
def(HAVE_NET_IF_H),
True,
def(SUPPORT_REMOTE),
