!def(HAVE_G_LOG_SET_DEFAULT_HANDLER),
def(HAVE_GETOPT_H),
def(HAVE_SYS_SIGNALFD_H),
def(HAVE_SYS_TIMEB_H),
def(HAVE_GNUTLS_GNUTLS_H),
!def(HAVE_GNUTLS_GNUTLS_H),
True,
def(SUPPORT_REMOTE),
def(HAVE_NET_IF_H),
def(FSA_TRACE),
