def(XML_TRACE),
def(HAVE_GETOPT_H),
!def(USE_BUGGY_LIBXML),
True,
def(HAVE_GNUTLS_GNUTLS_H),
!def(HAVE_GNUTLS_GNUTLS_H),
def(HAVE_NET_IF_H),
