!def(DOT_ALL_FSA_INPUTS),
def(MSG_LOG),
def(INTEGRATED_CIB),
!def(INTEGRATED_CIB),
!def(USE_BUGGY_LIBXML),
def(FSA_TRACE),
def(XML_TRACE),
def(DOT_FSA_ACTIONS),
def(DOT_ALL_FSA_INPUTS),
True,
