def(HAVE_NET_IF_H),
!def(HAVE_GNUTLS_GNUTLS_H),
def(SUPPORT_REMOTE),
!def(HAVE_G_LOG_SET_DEFAULT_HANDLER),
def(HAVE_IPCS_GET_BUFFER_SIZE),
def(RHEL7_COMPAT),
def(HAVE_SYS_SIGNALFD_H),
True,
def(HAVE_SYS_TIMEB_H),
def(ENABLE_VERSIONED_ATTRS),
def(FSA_TRACE),
!def(SUPPORT_CS_QUORUM),
def(HAVE_GETOPT_H),
