def(DOT_ALL_FSA_INPUTS),
True,
def(FSA_TRACE),
def(MSG_LOG),
!def(USE_BUGGY_LIBXML),
def(XML_TRACE),
def(DOT_FSA_ACTIONS),
!def(DOT_ALL_FSA_INPUTS),
