def(HAVE_GNUTLS_GNUTLS_H),
!def(HAVE_GNUTLS_GNUTLS_H),
!def(USE_BUGGY_LIBXML),
def(XML_TRACE),
def(HAVE_GETOPT_H),
True,
def(HAVE_NET_IF_H),
