def(XML_TRACE),
def(DOT_FSA_ACTIONS),
!def(USE_BUGGY_LIBXML),
def(DOT_ALL_FSA_INPUTS),
True,
def(FSA_TRACE),
def(MSG_LOG),
!def(DOT_ALL_FSA_INPUTS),
