!def(USE_FASTCGI),!def(USE_TILE_API)
def(USE_WMS_SVR),True
def(USE_POINT_Z_M),True
!def(USE_FASTCGI),True
def(USE_GD_TTF),True
True,def(USE_GD_PNG)
True,def(GD_HAS_FTEX_XSHOW)
True,def(USE_PROJ)
True,def(USE_WMS_LYR)
True,!def(USE_AGG)
def(GD_HAS_FTEX_XSHOW),True
def(USE_AGG),True
!def(USE_GD_TTF),True
def(USE_WCS_SVR),True
def(USE_MING_FLASH),True
def(USE_WMS_SVR),!def(USE_WMS_SVR)
!def(USE_TILE_API),True
True,def(USE_GD_JPEG)
def(USE_FASTCGI),True
def(USE_GEOS),True
!def(USE_AGG),True
True,def(notdef)
def(notdef),True
!def(USE_GD_FT),True
True,!def(USE_GD_FT)
def(USE_TILE_API),True
def(USE_GD_PNG),True
True,!def(USE_GD_TTF)
def(USE_FASTCGI),!def(USE_TILE_API)
def(USE_SOS_SVR),True
