!def(VMS),(def(LIBXML_HTML_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_HTML_ENABLED)))
True,!def(XML_USE_BUFFER_CONTENT)
True,!def(USE_UTF_8)
def(LIBXML_HTML_ENABLED),def(XML_USE_BUFFER_CONTENT)
def(LIBXML_DEBUG_ENABLED),True
def(LIBXML_XPTR_ENABLED),(!def(XML_USE_BUFFER_CONTENT)&def(LIBXML_XPTR_ENABLED))
def(DEBUG),True
(!def(XML_USE_BUFFER_CONTENT)&def(LIBXML_XPTR_ENABLED)),True
def(LIBXML_XPATH_ENABLED),True
True,!def(NO_DEBUG_MEMORY)
True,!def(BIG_ENDIAN)
!def(BIG_ENDIAN),True
def(DEBUG_STEP),def(LIBXML_XPATH_ENABLED)
!def(VMS),def(XML_USE_BUFFER_CONTENT)
def(DEBUG_TREE),!def(NO_DEBUG_MEMORY)
True,(def(LIBXML_HTML_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_HTML_ENABLED)))
def(LIBXML_HTML_ENABLED),!def(VMS)
(def(LIBXML_XPTR_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_XPTR_ENABLED))),def(LIBXML_XPTR_ENABLED)
!def(LIBXML_XPTR_ENABLED),!def(NO_DEBUG_MEMORY)
!def(USE_UTF_8),True
True,def(LIBXML_XPATH_ENABLED)
(def(LIBXML_HTML_ENABLED)&def(LIBXML_DEBUG_ENABLED)),True
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),True
def(XML_USE_BUFFER_CONTENT),!def(VMS)
def(DEBUG_TREE),True
(def(DEBUG_RANGES)&def(LIBXML_XPTR_ENABLED)),True
(def(DEBUG_XINCLUDE)&def(LIBXML_XINCLUDE_ENABLED)),True
!def(XML_USE_BUFFER_CONTENT),!def(NO_DEBUG_MEMORY)
def(LIBXML_XPTR_ENABLED),!def(NO_DEBUG_MEMORY)
True,(def(LIBXML_XPTR_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_XPTR_ENABLED)))
True,def(LIBXML_HTML_ENABLED)
def(DEBUG_VALID_ALGO),True
True,def(LIBXML_XPTR_ENABLED)
def(LIBXML_HTML_ENABLED),!def(NO_DEBUG_MEMORY)
def(DEBUG_SAX_TREE),True
def(LIBXML_XPTR_ENABLED),(def(LIBXML_XPTR_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_XPTR_ENABLED)))
def(LIBXML_HTML_ENABLED),True
!def(XML_USE_BUFFER_CONTENT),True
def(LIBXML_XPATH_ENABLED),def(LIBXML_XPTR_ENABLED)
(!def(XML_USE_BUFFER_CONTENT)&def(LIBXML_HTML_ENABLED)),!def(VMS)
def(STANDALONE),!def(NO_DEBUG_MEMORY)
!def(XML_USE_BUFFER_CONTENT),!def(VMS)
!def(NO_DEBUG_MEMORY),(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
def(LIBXML_HTML_ENABLED),(!def(XML_USE_BUFFER_CONTENT)&def(LIBXML_HTML_ENABLED))
!def(NO_DEBUG_MEMORY),True
def(LIBXML_HTML_ENABLED),(def(LIBXML_HTML_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_HTML_ENABLED)))
def(LIBXML_HTML_ENABLED),!def(LIBXML_HTML_ENABLED)
(def(LIBXML_XPTR_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_XPTR_ENABLED))),True
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),!def(NO_DEBUG_MEMORY)
!def(NO_DEBUG_MEMORY),def(LIBXML_XINCLUDE_ENABLED)
True,def(XML_USE_BUFFER_CONTENT)
!def(LIBXML_HTML_ENABLED),!def(NO_DEBUG_MEMORY)
True,def(VMS)
