!def(NO_DEBUG_MEMORY),def(LIBXML_C14N_ENABLED)
True,(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
!def(DEBUG),!def(NO_DEBUG_MEMORY)
True,!def(BIG_ENDIAN)
True,!def(USE_UTF_8)
def(LIBXML_C14N_ENABLED),!def(NO_DEBUG_MEMORY)
!def(DEBUG_VALID_ALGO),True
def(LIBXML_C14N_ENABLED),def(DEBUG_SAX_TREE)
def(DEBUG_EVAL_COUNTS),!def(NO_DEBUG_MEMORY)
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),True
!def(BIG_ENDIAN),True
def(DEBUG_VALID_ALGO),True
def(DEBUG_TREE),True
True,!def(DEBUG_VALID_ALGO)
(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED)),def(LIBXML_C14N_ENABLED)
!def(NO_DEBUG_MEMORY),(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
!def(NO_DEBUG_MEMORY),True
def(DEBUG_SAX_TREE),True
True,def(LIBXML_C14N_ENABLED)
def(DEBUG),True
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),!def(NO_DEBUG_MEMORY)
def(LIBXML_C14N_ENABLED),True
True,!def(NO_DEBUG_MEMORY)
True,!def(VMS)
def(DEBUG_TREE),!def(NO_DEBUG_MEMORY)
True,def(DEBUG_RANGES)
True,def(STANDALONE)
def(VMS),True
!def(VMS),True
True,def(BIG_ENDIAN)
!def(USE_UTF_8),True
def(DEBUG_RANGES),True
def(LIBXML_C14N_ENABLED),(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED))
def(STANDALONE),True
(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED)),def(DEBUG_SAX_TREE)
(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED)),True
def(BIG_ENDIAN),True
def(STANDALONE),!def(NO_DEBUG_MEMORY)
def(DEBUG),!def(NO_DEBUG_MEMORY)
