!def(NO_DEBUG_MEMORY),(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
def(VMS),True
True,def(XML_USE_BUFFER_CONTENT)
True,(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
!def(XML_USE_BUFFER_CONTENT),!def(NO_DEBUG_MEMORY)
def(BIG_ENDIAN),True
def(DEBUG_RANGES),True
def(DEBUG_SAX_TREE),True
!def(NO_DEBUG_MEMORY),True
True,!def(NO_DEBUG_MEMORY)
!def(VMS),True
!def(BIG_ENDIAN),True
def(STANDALONE),True
!def(DEBUG_VALID_ALGO),True
def(DEBUG_VALID_ALGO),True
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),!def(NO_DEBUG_MEMORY)
True,!def(BIG_ENDIAN)
True,def(STANDALONE)
def(DEBUG_XINCLUDE),True
True,!def(VMS)
True,!def(DEBUG_VALID_ALGO)
True,def(BIG_ENDIAN)
def(STANDALONE),!def(NO_DEBUG_MEMORY)
def(DEBUG_TREE),!def(NO_DEBUG_MEMORY)
def(XML_USE_BUFFER_CONTENT),True
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),True
!def(XML_USE_BUFFER_CONTENT),True
True,!def(XML_USE_BUFFER_CONTENT)
def(DEBUG),!def(NO_DEBUG_MEMORY)
!def(DEBUG),!def(NO_DEBUG_MEMORY)
def(DEBUG_EVAL_COUNTS),!def(NO_DEBUG_MEMORY)
def(DEBUG),True
def(DEBUG_TREE),True
!def(USE_UTF_8),True
