!def(NO_DEBUG_MEMORY),(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
True,!def(isinf)
True,!def(BIG_ENDIAN)
def(BIG_ENDIAN),True
def(LIBXML_DEBUG_ENABLED),True
def(STANDALONE),True
True,!def(NO_DEBUG_MEMORY)
!def(LIBXML_HTML_ENABLED),True
def(LIBXML_HTML_ENABLED),True
True,def(STANDALONE)
!def(NO_DEBUG_MEMORY),True
def(DEBUG_TREE),True
!def(isinf),True
True,!def(LIBXML_HTML_ENABLED)
!def(LIBXML_HTML_ENABLED),def(LIBXML_HTML_ENABLED)
def(STANDALONE),!def(NO_DEBUG_MEMORY)
!def(USE_UTF_8),True
def(DEBUG_VALID_ALGO),True
!def(XML_USE_BUFFER_CONTENT),True
True,def(LIBXML_HTML_ENABLED)
!def(isinf),!def(NO_DEBUG_MEMORY)
True,(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
!def(LIBXML_DEBUG_ENABLED),True
!def(LIBXML_HTML_ENABLED),!def(NO_DEBUG_MEMORY)
True,def(BIG_ENDIAN)
def(XML_USE_BUFFER_CONTENT),True
def(LIBXML_HTML_ENABLED),!def(LIBXML_HTML_ENABLED)
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),!def(NO_DEBUG_MEMORY)
def(DEBUG_SAX_TREE),True
def(DEBUG),True
def(LIBXML_HTML_ENABLED),!def(NO_DEBUG_MEMORY)
True,!def(XML_USE_BUFFER_CONTENT)
True,!def(USE_UTF_8)
!def(BIG_ENDIAN),True
True,def(XML_USE_BUFFER_CONTENT)
def(DEBUG_TREE),!def(NO_DEBUG_MEMORY)
True,def(LIBXML_DEBUG_ENABLED)
