!def(LIBXML_HTML_ENABLED),def(LIBXML_HTML_ENABLED)
True,(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
True,!def(BIG_ENDIAN)
True,def(XML_USE_BUFFER_CONTENT)
def(DEBUG_TREE),True
!def(BIG_ENDIAN),True
!def(NO_DEBUG_MEMORY),(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
True,def(LIBXML_HTML_ENABLED)
!def(LIBXML_HTML_ENABLED),!def(NO_DEBUG_MEMORY)
def(LIBXML_HTML_ENABLED),!def(NO_DEBUG_MEMORY)
True,!def(XML_USE_BUFFER_CONTENT)
def(XML_USE_BUFFER_CONTENT),True
def(LIBXML_HTML_ENABLED),True
def(DEBUG_TREE),!def(NO_DEBUG_MEMORY)
!def(XML_USE_BUFFER_CONTENT),True
def(BIG_ENDIAN),True
def(STANDALONE),!def(NO_DEBUG_MEMORY)
True,def(BIG_ENDIAN)
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),!def(NO_DEBUG_MEMORY)
True,def(LIBXML_DEBUG_ENABLED)
!def(isinf),!def(NO_DEBUG_MEMORY)
True,!def(LIBXML_HTML_ENABLED)
!def(NO_DEBUG_MEMORY),True
True,def(STANDALONE)
!def(USE_UTF_8),True
def(STANDALONE),True
!def(LIBXML_HTML_ENABLED),True
True,!def(USE_UTF_8)
!def(LIBXML_DEBUG_ENABLED),True
True,!def(isinf)
def(LIBXML_HTML_ENABLED),!def(LIBXML_HTML_ENABLED)
True,!def(NO_DEBUG_MEMORY)
!def(isinf),True
def(DEBUG_VALID_ALGO),True
def(DEBUG),True
def(LIBXML_DEBUG_ENABLED),True
def(DEBUG_SAX_TREE),True
