!def(VMS),def(XML_USE_BUFFER_CONTENT)
!def(NO_DEBUG_MEMORY),True
def(VMS),True
!def(DEBUG),!def(NO_DEBUG_MEMORY)
True,(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),True
!def(USE_UTF_8),True
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),!def(NO_DEBUG_MEMORY)
def(DEBUG_SAX_TREE),True
!def(BIG_ENDIAN),True
def(DEBUG),True
!def(XML_USE_BUFFER_CONTENT),!def(VMS)
True,!def(DEBUG_VALID_ALGO)
def(BIG_ENDIAN),True
def(DEBUG_RANGES),True
True,!def(BIG_ENDIAN)
True,def(BIG_ENDIAN)
def(STANDALONE),!def(NO_DEBUG_MEMORY)
def(XML_USE_BUFFER_CONTENT),!def(VMS)
def(DEBUG_EVAL_COUNTS),!def(NO_DEBUG_MEMORY)
!def(NO_DEBUG_MEMORY),(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
def(DEBUG_TREE),True
True,def(XML_USE_BUFFER_CONTENT)
def(DEBUG),!def(NO_DEBUG_MEMORY)
True,def(STANDALONE)
!def(VMS),True
def(XML_USE_BUFFER_CONTENT),True
True,!def(VMS)
!def(XML_USE_BUFFER_CONTENT),!def(NO_DEBUG_MEMORY)
def(DEBUG_XINCLUDE),True
def(DEBUG_VALID_ALGO),True
True,!def(XML_USE_BUFFER_CONTENT)
def(STANDALONE),True
!def(DEBUG_VALID_ALGO),True
!def(XML_USE_BUFFER_CONTENT),True
True,!def(NO_DEBUG_MEMORY)
def(DEBUG_TREE),!def(NO_DEBUG_MEMORY)
