"Sistema","Media","Mediana","Min","Max","Desvio"
"Vim",0.936910035512678,0.042025462962963,0,5.84530671296296,2.2843895645369
"PaceMaker",43.3270734415375,24.4464814814815,0.0284953703703704,156.076498842593,56.4683881961051
"LibXML",37.3367455914482,14.0841203703704,0,160.175925347222,59.8434817186007
"Lighttpd",83.8733682179987,42.2692476851852,0.224664351851852,295.243148148148,110.278187136889
"Collectd",27.4673896499239,10.3822916666667,0,139.383333333333,52.8527956699408
"Syslog",35.6722153946876,22.6450462962963,0.0270949074074074,123.955381944444,45.3132900128056
"CCache",79.1682084595959,38.1041666666667,0.0087962962962963,336.290377314815,124.90981030829
"Gzip",375.137256944444,219.337037037037,2.06119212962963,900.634236111111,371.21504517682
"LibNFC",79.8097056878307,47.7622337962963,4.24024305555556,319.677638888889,119.036569486533
"LibSSH",77.574659243295,60.8066550925926,11.9288773148148,246.907391203703,84.0770803019103
"LibrsKakfka",73.2304430827887,42.7811342592593,0,301.165935185185,112.686577321422
"Mosquitto",65.6186533313204,52.9776041666667,1.12318287037037,188.000891203704,65.1907587968105
"MPSolve",259.527574074074,30.3141898148148,0.669861111111111,1054.41872685185,404.751148822
"OpenVPN",52.749724146021,30.3265104166667,0.00134259259259259,184.032314814815,67.8635465167688
"Ossec",91.8453840917398,42.31453125,0.000277777777777778,368.101311921296,135.918153446879
"PianoBar",119.813086151369,75.7241550925926,1.90638888888889,407.540143518518,144.865197543001
"SilverSearcher",44.032825748621,30.8632638888889,0.0171180555555556,147.304876157407,53.3482419909634
"GNUPlot",268.081200598464,168.8584375,5.89709490740741,874.290972222222,307.249928266499
"OpenSC",106.160160421489,21.0000868055556,5.13256944444444,421.231129050926,158.45448707653
"Dia",58.162405889496,16.2303240740741,0.0292361111111111,243.822152777778,92.0171543224946
"Uwsgi",58.162405889496,16.2303240740741,0.0292361111111111,243.822152777778,92.0171543224946
"MapServer",35.4682810044893,12.7091782407407,4.62962962962963e-05,140.216773148148,52.0904303785598
"Hexchat",128.763302228009,63.19671875,3.22475694444444,459.633912037037,167.666315068262
"Totem",22.2520768061516,14.9307638888889,0,76.7078981481481,27.5772211786467
"Curl",38.1251140595903,40.4218287037037,0.0335300925925926,109.764282407407,39.060633090477
"Sylpheed",43.5394841218171,31.3809780092593,0.0489583333333333,146.609245949074,53.1789518370179
