"Sistema","um","dois","tres","quatro","cinco","seis","sete","oito","nove","dez","onze"
"vim",0,0.00674768518518519,0.011943287037037,0.0177696759259259,0.0273831018518519,0.042025462962963,0.0818206018518519,0.233341435185185,0.93857638888889,5.84530671296296,5.84530671296296
"PaceMaker",0.0284953703703704,6.12915740740741,9.97552777777778,14.1987222222222,17.9525023148148,24.4464814814815,30.893599537037,54.2349965277778,72.5638564814815,113.693971064815,156.076498842593
"LibXML",0,0.0500185185185185,3.64020601851852,7.17255787037037,10.6926909722222,14.0841203703704,22.2610821759259,28.85834375,49.4056087962963,113.693971064815,160.175925347222
"Lighttpd",0.224664351851852,7.30891203703704,14.3492488425926,18.6878819444444,22.4248993055556,42.2692476851852,77.8673668981481,121.233071759259,174.794837962963,197.602648148148,295.243148148148
"Collected",0,0.00506944444444445,0.0872916666666667,1.28354166666667,4.39958333333334,10.3822916666667,18.2809722222222,27.9132638888889,46.4258333333333,85.9484722222223,139.383333333333
"Syslog",0.0270949074074074,0.985872685185185,5.11688773148148,7.96141666666667,11.1810243055556,22.6450462962963,40.9772199074074,51.0725972222222,60.6461631944445,88.0240717592593,123.955381944444
"ccache",0.0087962962962963,0.547268518518519,5.08990740740741,13.6196527777778,23.2206886574074,38.1041666666667,52.4150173611111,84.0083449074074,130.470457175926,336.290377314815,336.290377314815
"Gzip",2.06119212962963,4.88399074074074,21.8207824074074,45.7716678240741,76.7366469907408,219.337037037037,409.015423611111,722.448381944444,885.605673611111,898.487298611111,900.634236111111
"libnfc",4.24024305555556,5.25749074074074,9.81953125,14.401650462963,21.9042118055556,47.7622337962963,71.8128587962963,139.317236111111,158.929099537037,173.750939814815,319.677638888889
"Libssh",11.9288773148148,15.706599537037,23.7671493055556,34.0265046296296,50.3631435185185,60.8066550925926,68.368087962963,84.8551064814815,126.813032407407,177.36375462963,246.907391203703
"librskafka",0,0.0142175925925926,0.307542824074074,3.06021759259259,10.6634421296296,42.7811342592593,47.5412997685185,85.439837962963,151.02233912037,243.377877314815,301.165935185185
"Mosquitto",1.12318287037037,5.96676851851852,29.0771863425926,34.1348217592593,43.2084988425926,52.9776041666667,63.1347974537037,88.1879861111111,105.429347222222,142.208816898148,188.000891203704
"MPSolve",0.669861111111111,0.669861111111111,2.58751157407407,4.50516203703704,17.4096759259259,30.3141898148148,119.022060185185,207.729930555556,631.074328703704,1054.41872685185,1054.41872685185
"OpenVPN",0.00134259259259259,1.76956597222222,4.93258449074074,8.41915740740741,17.0991527777778,30.3265104166667,48.7041944444445,65.9537037037037,96.6047638888889,166.744299768519,184.032314814815
"Ossec",0.000277777777777778,3.72478125,14.0077569444444,18.140599537037,28.9432986111111,42.31453125,75.6333645833334,111.006560185185,143.645043981482,265.376256944445,368.101311921296
"PianoBar",1.90638888888889,16.1300231481482,30.1376388888889,48.4828356481482,74.4233587962963,75.7241550925926,90.6999467592593,116.270194444444,190.406719907407,318.049593518518,407.540143518518
"SilverSearch",0.0171180555555556,1.72116898148148,5.29165509259259,8.59115740740741,18.4723923611111,30.8632638888889,39.6705752314815,51.6402476851852,78.2708171296296,147.304876157407,147.304876157407
"GNUPlot",5.89709490740741,38.9167106481482,97.4267511574074,137.429872685185,151.942975694444,168.8584375,188.105581018519,202.952273148148,270.968717592593,874.290972222222,874.290972222222
"OpenSC",5.13256944444444,8.46742013888889,12.4712071759259,16.1783460648148,17.1984236111111,21.0000868055556,45.9878368055556,74.2561689814815,265.998833333333,421.231129050926,421.231129050926
"dia",0.0292361111111111,2.72056712962963,5.49247222222222,7.07803240740741,10.034275462963,16.2303240740741,34.9788240740741,69.0102175925926,107.201511574074,212.623631944444,243.822152777778
"uwsgi",0.0292361111111111,2.72056712962963,5.49247222222222,7.07803240740741,10.034275462963,16.2303240740741,34.9788240740741,69.0102175925926,107.201511574074,212.623631944444,243.822152777778
"mapserver",4.62962962962963e-05,0.0225115740740741,5.98254050925926,7.01701388888889,7.73233217592593,12.7091782407407,20.440150462963,36.0107986111111,68.9645543981482,140.216773148148,140.216773148148
"Hexchat",3.22475694444444,9.47271412037037,13.6277222222222,34.8391643518519,50.3344548611111,63.19671875,122.052635416667,154.495444444444,192.677739583333,439.948915509259,459.633912037037
"totem",0,0.309236111111111,4.77006597222222,7.89554166666667,11.7794131944444,14.9307638888889,19.9326944444444,27.7529143518519,38.0053148148148,58.8281597222222,76.7078981481481
"Curl",0.0335300925925926,4.73042592592593,8.03100694444444,14.0014212962963,25.7934722222222,40.4218287037037,50.400212962963,56.314787037037,62.8298252314815,73.2896203703704,109.764282407407
"Sylpheed",0.0489583333333333,8.46742013888889,5.81637847222222,8.88049768518519,20.2079780092593,31.3809780092593,40.360849537037,54.0968368055556,76.2123171296297,131.782582175926,146.609245949074
