Date,Evolution,Variabilities,TotalDependencies,Preserved,DependenciesDeleted,DependenciesAdditions,DependenciesChanged,DependenciesNotModified,,Total,Preserved,,,,
25-11-2010 04:22:47,48,32,43,15,99,116,242,776,,1233,1018,"23,77%","19,63%","8,03%","9,41%"
10-01-2011 4:56:53,97,32,43,16,148,165,830,1854,,2997,2684,"30,92%","27,69%","4,94%","5,51%"
14-02-2011 04:43:46,146,34,46,19,198,223,1503,3012,,4936,4515,"33,29%","30,45%","4,01%","4,52%"
29-04-2011 05:36:04,195,36,51,21,255,291,2191,4219,,6956,6410,"34,18%","31,50%","3,67%","4,18%"
25-05-2011 03:14:47,244,36,51,21,304,340,2927,5590,,9161,8517,"34,37%","31,95%","3,32%","3,71%"
29-07-2011 06:25:57,293,36,51,21,353,389,3662,6962,,11366,10624,"34,47%","32,22%","3,11%","3,42%"
24-10-2011 12:25:30,342,31,42,15,407,449,4390,8130,,13376,12520,"35,06%","32,82%","3,04%","3,36%"
01-01-2012 1:33:09,391,32,45,18,495,549,5060,9051,,15155,14111,"35,86%","33,39%","3,27%","3,62%"
20-03-2012 03:21:04,440,33,46,19,567,608,5853,9958,,16986,15811,"37,02%","34,46%","3,34%","3,58%"
07-04-2012 4:30:50,489,33,46,19,616,657,6686,10987,,18946,17673,"37,83%","35,29%","3,25%","3,47%"
09-05-2012 12:42:01,538,33,41,14,675,706,7483,11947,,20811,19430,"38,51%","35,96%","3,24%","3,39%"
17-06-2012 01:47:50,587,35,45,18,743,765,8173,13103,,22784,21276,"38,41%","35,87%","3,26%","3,36%"
20-07-2012 05:09:24,636,35,44,17,793,814,8861,14192,,24660,23053,"38,44%","35,93%","3,22%","3,30%"
12-08-2012 3:42:06,685,38,44,17,842,863,9547,15270,,26522,24817,"38,47%","36,00%","3,17%","3,25%"
10-10-2012 8:46:22,734,39,46,19,893,921,10163,16465,,28442,26628,"38,17%","35,73%","3,14%","3,24%"
