"index","Possible","variabilities","sumFunc","FAdd","FExc","FPar","FTyp","FMod","FEsp","FQua","sumVar","VAdd","VExc","VTyp","VMod","VEsp","VQua"
1113,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1200,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1541,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1547,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1551,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1659,1,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
1660,1,1,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0
1671,1,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
1672,1,1,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0
1718,1,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
1731,1,1,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0
1789,1,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
1807,1,1,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0
1916,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
363,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
472,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
503,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
522,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
523,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
524,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
527,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
532,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
539,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
547,3,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
549,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
573,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
687,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
697,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
718,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
723,3,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
728,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
732,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
734,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
737,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
774,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
781,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
977,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
