def(MEMDEBUG_LOG_SYNC),
def(HAVE_WRITABLE_ARGV),
def(TIME_WITH_SYS_TIME),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(__riscos__),
(def(WIN32)&!def(_WIN32_WCE)),
!def(DEBUGBUILD),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(__EMX__),
def(USE_CHUNKED),
!def(CURL_DISABLE_RTSP),
def(DEBUGBUILD),
def(USE_GNUTLS),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(USE_WINDOWS_SSPI),
!def(UNITTESTS),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(HAVE_GSSAPI),
!def(CURL_DOES_CONVERSIONS),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_TFTP),
!def(CURL_DISABLE_DICT),
def(ENABLE_IPV6),
def(CURLRES_SYNCH),
!def(HAVE_INET_NTOP),
def(UNITTESTS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
True,
def(SIGALRM),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(LIB1502),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_PROXY),
!def(CURL_DISABLE_HTTP),
!def(_LDAP_PVT_H),
!def(CURL_DISABLE_TELNET),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_INET_PTON),
def(__VMS),
(def(HAVE_PIPE)&!def(UNITTESTS)),
!def(HAVE_MEMRCHR),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(USE_LIBRTMP),
def(SIGHUP),
def(LIB585),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(HAVE_GSSAPI),
def(SIGPIPE),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(CURL_DISABLE_HTTP),
def(USE_POLARSSL),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(HAVE_SETMODE),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(HAVE_STRTOK_R),
def(HAVE_FSETXATTR),
def(USE_ENVIRONMENT),
!def(CURL_DISABLE_LDAP),
def(USE_NGHTTP2),
def(LIB1503),
def(CURL_DOES_CONVERSIONS),
!def(__EMX__),
!def(HAVE_GETPASS_R),
def(HAVE_FDOPEN),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_CYASSL),
def(USE_NSS),
def(DISABLE_EXPECT),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(WIN32)&!def(__AMIGA__)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(HAVE_BASENAME),
def(HAVE_SOCKETPAIR),
!def(CURL_DISABLE_GOPHER),
def(HAVE_FSETXATTR_6),
