def(DEBUGBUILD),
!def(HAVE_INET_PTON),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DISABLE_TFTP),
True,
!def(CURL_DISABLE_LDAP),
!def(CURL_DISABLE_DICT),
def(HAVE_WRITABLE_ARGV),
def(LIB1502),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(__riscos__),
!def(DEBUGBUILD),
!def(HAVE_INET_NTOP),
def(LIB585),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(WIN32)&!def(__AMIGA__)),
def(__EMX__),
def(DISABLE_EXPECT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(USE_LIBRTMP),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(CURLDEBUG),
def(MEMDEBUG_LOG_SYNC),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(HAVE_MEMRCHR),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(USE_GNUTLS),
def(SIGHUP),
!def(CURL_DOES_CONVERSIONS),
def(HAVE_SETMODE),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(__VMS),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(HAVE_STRTOK_R),
!def(CURL_DISABLE_TELNET),
def(CURLRES_SYNCH),
def(USE_CHUNKED),
def(SIGPIPE),
!def(_LDAP_PVT_H),
def(LIB1503),
def(HAVE_FSETXATTR),
!def(CURL_DISABLE_RTSP),
!def(HAVE_GETPASS_R),
(def(WIN32)&!def(_WIN32_WCE)),
def(CURL_DOES_CONVERSIONS),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_POLARSSL),
def(TIME_WITH_SYS_TIME),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(SIGALRM),
!def(CURL_DISABLE_GOPHER),
!def(HAVE_BASENAME),
!def(CURL_DISABLE_HTTP),
def(USE_ENVIRONMENT),
def(USE_CYASSL),
def(USE_NSS),
!def(HAVE_FSETXATTR),
!def(__EMX__),
def(USE_NTLM),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(HAVE_SOCKETPAIR),
def(ENABLE_IPV6),
def(HAVE_FDOPEN),
def(HAVE_PIPE),
!def(CURL_DISABLE_PROXY),
def(USE_WINDOWS_SSPI),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(UNITTESTS),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
