(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_NSS),
def(USE_POLARSSL),
!def(HAVE_BASENAME),
def(UNITTESTS),
!def(CURL_DISABLE_HTTP),
def(HAVE_FDOPEN),
def(HAVE_FSETXATTR),
def(USE_WINDOWS_SSPI),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(USE_NTLM),
def(CURLRES_SYNCH),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(HAVE_INET_NTOP),
def(HAVE_SETMODE),
def(USE_GNUTLS),
def(LIB1502),
def(__riscos__),
!def(CURL_DISABLE_PROXY),
def(SIGPIPE),
def(USE_LIBRTMP),
!def(HAVE_MEMRCHR),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(HAVE_SOCKETPAIR),
def(DISABLE_EXPECT),
!def(HAVE_GETPASS_R),
!def(DEBUGBUILD),
def(CURLDEBUG),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(HAVE_PIPE),
!def(_LDAP_PVT_H),
(def(WIN32)&!def(__AMIGA__)),
(!def(_WIN32_WCE)&!def(WIN32)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(CURL_DISABLE_TELNET),
def(SIGHUP),
True,
def(USE_ENVIRONMENT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(ENABLE_IPV6),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(LIB585),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(LIB1503),
def(__EMX__),
def(CURL_DOES_CONVERSIONS),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(DEBUGBUILD),
def(TIME_WITH_SYS_TIME),
def(MEMDEBUG_LOG_SYNC),
!def(__EMX__),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_DICT),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(WIN32)&!def(_WIN32_WCE)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(CURL_DISABLE_TFTP),
def(USE_CHUNKED),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(USE_CYASSL),
!def(HAVE_FSETXATTR),
!def(CURL_DOES_CONVERSIONS),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_LDAP),
!def(CURL_DISABLE_GOPHER),
def(HAVE_WRITABLE_ARGV),
def(SIGALRM),
!def(CURL_DISABLE_RTSP),
def(__VMS),
!def(HAVE_STRTOK_R),
