def(TIME_WITH_SYS_TIME),
!def(HAVE_BASENAME),
def(ENABLE_IPV6),
!def(CURL_DISABLE_DICT),
!def(CURL_DOES_CONVERSIONS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(CURL_DISABLE_RTSP),
!def(CURL_DISABLE_LDAP),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(HAVE_MEMRCHR),
def(USE_POLARSSL),
!def(CURL_DISABLE_HTTP),
!def(HAVE_INET_PTON),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(__riscos__),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(HAVE_FSETXATTR),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(LIB585),
def(DEBUGBUILD),
def(HAVE_WRITABLE_ARGV),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(HAVE_FSETXATTR),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_CHUNKED),
def(USE_NSS),
def(HAVE_FSETXATTR_6),
(def(WIN32)&!def(_WIN32_WCE)),
!def(HAVE_INET_NTOP),
def(USE_GNUTLS),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
!def(CURL_DISABLE_TFTP),
!def(UNITTESTS),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(MEMDEBUG_LOG_SYNC),
!def(HAVE_STRTOK_R),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(HAVE_FDOPEN),
def(LIB1502),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(__EMX__),
!def(_LDAP_PVT_H),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(CURL_DISABLE_PROXY),
def(HAVE_GSSAPI),
!def(HAVE_GSSAPI),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(LIB1503),
def(CURLRES_SYNCH),
(def(HAVE_PIPE)&!def(UNITTESTS)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(CURL_DOES_CONVERSIONS),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(DISABLE_EXPECT),
def(USE_NGHTTP2),
!def(HAVE_GETPASS_R),
!def(CURL_DISABLE_GOPHER),
(def(WIN32)&!def(__AMIGA__)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(HAVE_SETMODE),
def(USE_WINDOWS_SSPI),
!def(__EMX__),
def(SIGPIPE),
def(SIGALRM),
!def(CURL_DISABLE_TELNET),
def(CURL_DO_LINEEND_CONV),
def(UNITTESTS),
def(HAVE_SOCKETPAIR),
def(CURL_DISABLE_HTTP),
def(USE_ENVIRONMENT),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(USE_LIBRTMP),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(__VMS),
True,
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(DEBUGBUILD),
def(USE_CYASSL),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(SIGHUP),
!def(CURL_DISABLE_CRYPTO_AUTH),
