!def(HAVE_MEMRCHR),
def(USE_LIBRTMP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_WINDOWS_SSPI),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(CURL_DISABLE_PROXY),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(SIGPIPE),
!def(CURL_DISABLE_CRYPTO_AUTH),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_INET_PTON),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(HAVE_WRITABLE_ARGV),
def(ENABLE_IPV6),
def(USE_NGHTTP2),
!def(HAVE_GETPASS_R),
!def(HAVE_STRTOK_R),
def(SIGHUP),
def(__VMS),
def(USE_ENVIRONMENT),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(__riscos__),
def(__EMX__),
!def(CURL_DOES_CONVERSIONS),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(SIGALRM),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
(def(HAVE_PIPE)&!def(UNITTESTS)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(HAVE_FDOPEN),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
True,
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(__EMX__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(DISABLE_EXPECT),
def(UNITTESTS),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(HAVE_SETMODE),
!def(_LDAP_PVT_H),
!def(CURL_DISABLE_GOPHER),
def(USE_POLARSSL),
def(HAVE_SOCKETPAIR),
!def(HAVE_GSSAPI),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_BASENAME),
!def(CURL_DISABLE_HTTP),
!def(HAVE_FSETXATTR),
def(LIB1502),
def(USE_NSS),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(CURL_DISABLE_LDAP),
def(USE_NTLM),
!def(CURL_DISABLE_DICT),
def(HAVE_GSSAPI),
(def(USE_NSS)&def(USE_NTLM)),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
def(HAVE_FSETXATTR_6),
def(CURLRES_SYNCH),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_TFTP),
def(LIB1503),
def(CURL_DOES_CONVERSIONS),
def(TIME_WITH_SYS_TIME),
!def(CURL_DISABLE_TELNET),
def(USE_CYASSL),
def(HAVE_FSETXATTR),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(USE_GNUTLS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_RTSP),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(USE_CHUNKED),
def(MEMDEBUG_LOG_SYNC),
def(LIB585),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(UNITTESTS),
!def(DEBUGBUILD),
def(DEBUGBUILD),
!def(HAVE_INET_NTOP),
(def(WIN32)&!def(__AMIGA__)),
