!def(HAVE_MEMRCHR),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DISABLE_TELNET),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_TFTP),
def(USE_CYASSL),
def(TIME_WITH_SYS_TIME),
def(UNITTESTS),
!def(CURL_DISABLE_RTSP),
def(HAVE_FSETXATTR),
def(DISABLE_EXPECT),
!def(CURL_DISABLE_HTTP),
True,
def(CURLRES_SYNCH),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(HAVE_BASENAME),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(__EMX__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(USE_POLARSSL),
!def(HAVE_INET_NTOP),
!def(HAVE_GETPASS_R),
!def(__EMX__),
!def(CURL_DOES_CONVERSIONS),
!def(DEBUGBUILD),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(CURL_DISABLE_DICT),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(HAVE_SOCKETPAIR),
(def(WIN32)&!def(_WIN32_WCE)),
def(USE_ENVIRONMENT),
def(SIGPIPE),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(HAVE_SETMODE),
def(SIGHUP),
def(USE_WINDOWS_SSPI),
def(HAVE_PIPE),
!def(CURL_DISABLE_PROXY),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(__riscos__),
(def(WIN32)&!def(__AMIGA__)),
def(USE_GNUTLS),
def(HAVE_WRITABLE_ARGV),
def(CURLDEBUG),
def(ENABLE_IPV6),
def(DEBUGBUILD),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(CURL_DOES_CONVERSIONS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_INET_PTON),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(USE_CHUNKED),
def(MEMDEBUG_LOG_SYNC),
def(LIB1502),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(LIB1503),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(USE_NTLM),
def(__VMS),
def(USE_NSS),
!def(HAVE_FSETXATTR),
def(HAVE_FDOPEN),
!def(HAVE_STRTOK_R),
def(SIGALRM),
!def(CURL_DISABLE_LDAP),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(_LDAP_PVT_H),
def(USE_LIBRTMP),
!def(CURL_DISABLE_GOPHER),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(LIB585),
