!def(HAVE_MEMRCHR),
(def(USE_NSS)&def(USE_NTLM)),
!def(CURL_DISABLE_HTTP),
def(LIB1502),
def(MEMDEBUG_LOG_SYNC),
def(HAVE_WRITABLE_ARGV),
def(HAVE_FSETXATTR),
def(USE_CYASSL),
def(USE_POLARSSL),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(CURL_DISABLE_GOPHER),
def(CURLDEBUG),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(_LDAP_PVT_H),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(ENABLE_IPV6),
def(USE_NGHTTP2),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(__VMS),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(CURL_DOES_CONVERSIONS),
def(USE_LIBRTMP),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(USE_ENVIRONMENT),
!def(HAVE_BASENAME),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(SIGALRM),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(TIME_WITH_SYS_TIME),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(__riscos__),
def(HAVE_SOCKETPAIR),
def(LIB1503),
(def(WIN32)&!def(_WIN32_WCE)),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(WIN32)&!def(__AMIGA__)),
def(DISABLE_EXPECT),
!def(CURL_DISABLE_RTSP),
def(CURLRES_SYNCH),
!def(HAVE_INET_PTON),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(USE_WINDOWS_SSPI),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(HAVE_GSSAPI),
def(HAVE_FDOPEN),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(USE_GNUTLS),
def(HAVE_PIPE),
def(USE_CHUNKED),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(DEBUGBUILD),
!def(HAVE_INET_NTOP),
def(SIGPIPE),
!def(HAVE_GSSAPI),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DISABLE_PROXY),
def(HAVE_SETMODE),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_NTLM),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
True,
!def(CURL_DISABLE_TELNET),
def(LIB585),
def(__EMX__),
!def(CURL_DISABLE_LDAP),
def(USE_NSS),
def(SIGHUP),
!def(HAVE_GETPASS_R),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(CURL_DISABLE_TFTP),
!def(HAVE_STRTOK_R),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(CURL_DOES_CONVERSIONS),
def(HAVE_FSETXATTR_6),
!def(__EMX__),
!def(CURL_DISABLE_DICT),
def(CURL_DISABLE_HTTP),
def(UNITTESTS),
!def(DEBUGBUILD),
