!def(CURL_DISABLE_PROXY),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(CURL_DISABLE_DICT),
def(CURLDEBUG),
!def(HAVE_INET_NTOP),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
!def(USE_WINDOWS_SSPI),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(UNITTESTS),
!def(CURL_DISABLE_TELNET),
def(CURL_DISABLE_HTTP),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_LDAP),
!def(CURL_DISABLE_RTSP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
def(USE_CYASSL),
def(USE_CHUNKED),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
def(HAVE_FSETXATTR),
def(__AMIGA__),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
True,
def(HAVE_SETMODE),
!def(CURL_DISABLE_GOPHER),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(HAVE_MEMRCHR),
def(USE_NTLM),
def(TIME_WITH_SYS_TIME),
!def(CURL_DISABLE_HTTP),
def(HAVE_PIPE),
def(USE_LIBRTMP),
def(HAVE_GETHOSTNAME),
(def(__AMIGA__)&!def(__libnix__)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(__EMX__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
def(USE_POLARSSL),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(_LDAP_PVT_H),
!def(CURL_DOES_CONVERSIONS),
def(HAVE_WRITABLE_ARGV),
def(DEBUGBUILD),
!def(CURL_DISABLE_TFTP),
def(__riscos__),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(__EMX__),
def(ENABLE_IPV6),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(DEBUGBUILD),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(HAVE_INET_PTON),
!def(HAVE_STRTOK_R),
def(USE_NSS),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(__VMS),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(CURL_DISABLE_FTP),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_FSETXATTR),
def(DISABLE_EXPECT),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
def(LIB585),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
