(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(USE_NSS),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(CURL_DOES_CONVERSIONS),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(__AMIGA__)&!def(__libnix__)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DISABLE_HTTP),
def(__AMIGA__),
(def(WIN32)&!def(__AMIGA__)),
def(DISABLE_EXPECT),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_DICT),
def(TIME_WITH_SYS_TIME),
!def(CURL_DISABLE_GOPHER),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_LDAP),
!def(HAVE_INET_NTOP),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
def(DEBUGBUILD),
def(__VMS),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(HAVE_SETMODE),
!def(CURL_DISABLE_TELNET),
def(ENABLE_IPV6),
!def(CURL_DISABLE_FTP),
def(USE_CYASSL),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(USE_CHUNKED),
def(__EMX__),
def(LIB585),
!def(HAVE_INET_PTON),
def(HAVE_PIPE),
(def(WIN32)&!def(_WIN32_WCE)),
def(HAVE_WRITABLE_ARGV),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_POLARSSL),
!def(HAVE_FSETXATTR),
!def(__EMX__),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
True,
!def(HAVE_STRTOK_R),
def(CURLDEBUG),
!def(CURL_DISABLE_PROXY),
!def(CURL_DISABLE_TFTP),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(UNITTESTS),
!def(HAVE_MEMRCHR),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
def(__riscos__),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(HAVE_GETHOSTNAME),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
!def(CURL_DISABLE_RTSP),
!def(USE_WINDOWS_SSPI),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(DEBUGBUILD),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(HAVE_FSETXATTR),
def(CURL_DOES_CONVERSIONS),
def(USE_LIBRTMP),
!def(_LDAP_PVT_H),
