!def(CURL_DOES_CONVERSIONS),
def(SIGHUP),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(HAVE_GSSAPI),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(USE_WINDOWS_SSPI),
def(USE_NTLM),
!def(HAVE_STRTOK_R),
!def(DEBUGBUILD),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_LDAP),
def(USE_LIBRTMP),
(def(WIN32)&!def(__AMIGA__)),
def(USE_ENVIRONMENT),
(def(WIN32)&!def(_WIN32_WCE)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(USE_NSS),
!def(HAVE_GETPASS_R),
def(ENABLE_IPV6),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(MEMDEBUG_LOG_SYNC),
!def(HAVE_BASENAME),
def(__EMX__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(CURL_DISABLE_TELNET),
def(CURL_DO_LINEEND_CONV),
!def(CURL_DISABLE_GOPHER),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(USE_POLARSSL),
!def(HAVE_INET_NTOP),
def(HAVE_FSETXATTR),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(LIB1503),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(LIB585),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_NGHTTP2),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(HAVE_GSSAPI),
def(TIME_WITH_SYS_TIME),
def(SIGALRM),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(CURL_DOES_CONVERSIONS),
def(__VMS),
def(DISABLE_EXPECT),
def(CURLDEBUG),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(CURL_DISABLE_TFTP),
def(LIB1502),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_DICT),
True,
def(USE_CHUNKED),
(!def(_WIN32_WCE)&!def(WIN32)),
def(HAVE_SOCKETPAIR),
def(USE_CYASSL),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(HAVE_FDOPEN),
def(USE_GNUTLS),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_PROXY),
def(HAVE_SETMODE),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(SIGPIPE),
!def(_LDAP_PVT_H),
def(CURLRES_SYNCH),
!def(__EMX__),
def(__riscos__),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(CURL_DISABLE_HTTP),
def(DEBUGBUILD),
def(UNITTESTS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_RTSP),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_HTTP),
def(HAVE_PIPE),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_MEMRCHR),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
