!def(CURL_DISABLE_TFTP),
def(TIME_WITH_SYS_TIME),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(UNITTESTS),
!def(HAVE_MEMRCHR),
def(CURLRES_SYNCH),
def(CURL_DO_LINEEND_CONV),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_STRTOK_R),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(CURL_DISABLE_HTTP),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
def(USE_NGHTTP2),
(!def(_WIN32_WCE)&!def(WIN32)),
def(DISABLE_EXPECT),
def(LIB1503),
def(SIGALRM),
def(__VMS),
def(__EMX__),
!def(_LDAP_PVT_H),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(HAVE_BASENAME),
def(SIGHUP),
True,
def(__riscos__),
def(USE_CYASSL),
def(DEBUGBUILD),
(def(HAVE_PIPE)&!def(UNITTESTS)),
def(HAVE_FSETXATTR),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(CURL_DOES_CONVERSIONS),
!def(HAVE_GETPASS_R),
!def(CURL_DISABLE_LDAP),
!def(__EMX__),
def(USE_POLARSSL),
def(USE_GNUTLS),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(CURL_DISABLE_TELNET),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(HAVE_FSETXATTR_6),
!def(HAVE_INET_PTON),
def(HAVE_WRITABLE_ARGV),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_PROXY),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(SIGPIPE),
!def(CURL_DISABLE_DICT),
def(CURL_DOES_CONVERSIONS),
def(HAVE_FDOPEN),
!def(HAVE_INET_NTOP),
def(CURL_DISABLE_HTTP),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(def(WIN32)&!def(_WIN32_WCE)),
def(USE_ENVIRONMENT),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(HAVE_SOCKETPAIR),
def(UNITTESTS),
def(LIB585),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(ENABLE_IPV6),
def(HAVE_GSSAPI),
!def(HAVE_GSSAPI),
def(USE_LIBRTMP),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_GOPHER),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(WIN32)&!def(__AMIGA__)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_CHUNKED),
def(MEMDEBUG_LOG_SYNC),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(LIB1502),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_NSS),
!def(CURL_DISABLE_RTSP),
!def(DEBUGBUILD),
def(HAVE_SETMODE),
