!def(CURL_DISABLE_CRYPTO_AUTH),
!def(HAVE_MEMRCHR),
!def(CURL_DISABLE_RTSP),
!def(HAVE_FSETXATTR),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(USE_CHUNKED),
def(USE_NTLM),
(def(WIN32)&!def(__AMIGA__)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(CURL_DOES_CONVERSIONS),
def(HAVE_SETMODE),
def(USE_CYASSL),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(LIB585),
!def(CURL_DISABLE_TELNET),
def(DEBUGBUILD),
def(__EMX__),
!def(CURL_DISABLE_LDAP),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(_LDAP_PVT_H),
def(TIME_WITH_SYS_TIME),
def(HAVE_WRITABLE_ARGV),
def(HAVE_FDOPEN),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(MEMDEBUG_LOG_SYNC),
def(USE_LIBRTMP),
(!def(_WIN32_WCE)&!def(WIN32)),
def(SIGALRM),
def(SIGHUP),
True,
(def(WIN32)&!def(_WIN32_WCE)),
def(USE_ENVIRONMENT),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(HAVE_FSETXATTR),
def(LIB1503),
def(DISABLE_EXPECT),
!def(HAVE_STRTOK_R),
!def(HAVE_GETPASS_R),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_BASENAME),
def(CURL_DISABLE_HTTP),
!def(HAVE_INET_NTOP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(HAVE_INET_PTON),
def(SIGPIPE),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(CURL_DISABLE_PROXY),
def(__riscos__),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(CURLDEBUG),
!def(CURL_DISABLE_TFTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(__EMX__),
def(CURLRES_SYNCH),
def(UNITTESTS),
!def(CURL_DOES_CONVERSIONS),
def(ENABLE_IPV6),
!def(CURL_DISABLE_GOPHER),
def(LIB1502),
def(USE_WINDOWS_SSPI),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DISABLE_DICT),
def(HAVE_SOCKETPAIR),
!def(DEBUGBUILD),
def(USE_GNUTLS),
def(USE_POLARSSL),
def(HAVE_PIPE),
def(__VMS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_NSS),
