(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_CRYPTO_AUTH),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(MEMDEBUG_LOG_SYNC),
def(DISABLE_EXPECT),
def(USE_ENVIRONMENT),
def(__riscos__),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(DEBUGBUILD),
def(HAVE_SOCKETPAIR),
def(ENABLE_IPV6),
def(UNITTESTS),
!def(HAVE_MEMRCHR),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(USE_CYASSL),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(HAVE_STRTOK_R),
def(LIB585),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_WINDOWS_SSPI),
def(SIGHUP),
!def(CURL_DISABLE_HTTP),
def(WIN32),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_PROXY),
def(HAVE_WRITABLE_ARGV),
!def(HAVE_GETPASS_R),
!def(CURL_DISABLE_GOPHER),
!def(__EMX__),
!def(HAVE_FSETXATTR),
def(SIGALRM),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(!def(_WIN32_WCE)&!def(WIN32)),
def(CURL_DOES_CONVERSIONS),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(CURL_DISABLE_HTTP),
def(__VMS),
def(LIB1502),
True,
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(LIB1503),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(CURL_DISABLE_TFTP),
!def(CURL_DISABLE_LDAP),
def(USE_NTLM),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(CURLRES_SYNCH),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(USE_NSS),
!def(HAVE_BASENAME),
!def(CURL_DISABLE_RTSP),
def(__EMX__),
def(SIGPIPE),
def(USE_POLARSSL),
!def(HAVE_INET_PTON),
def(HAVE_FDOPEN),
def(TIME_WITH_SYS_TIME),
def(DEBUGBUILD),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(HAVE_SETMODE),
def(USE_GNUTLS),
def(USE_LIBRTMP),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_TELNET),
(def(WIN32)&!def(_WIN32_WCE)),
def(HAVE_PIPE),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(CURLDEBUG),
!def(_LDAP_PVT_H),
def(USE_CHUNKED),
!def(CURL_DISABLE_DICT),
!def(HAVE_INET_NTOP),
def(HAVE_FSETXATTR),
