(def(WIN32)&!def(_WIN32_WCE)),
!def(CURL_DISABLE_GOPHER),
!def(CURL_DISABLE_PROXY),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(HAVE_BASENAME),
!def(CURL_DISABLE_DICT),
def(HAVE_FSETXATTR_6),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(UNITTESTS),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(HAVE_FSETXATTR),
def(USE_GNUTLS),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(CURL_DOES_CONVERSIONS),
def(USE_WINDOWS_SSPI),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(TIME_WITH_SYS_TIME),
(def(HAVE_PIPE)&!def(UNITTESTS)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(__EMX__),
def(USE_LIBRTMP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(LIB585),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(HAVE_STRTOK_R),
!def(CURL_DISABLE_TFTP),
!def(HAVE_MEMRCHR),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(HAVE_GSSAPI),
def(USE_CYASSL),
def(__VMS),
def(CURLRES_SYNCH),
def(USE_ENVIRONMENT),
def(USE_POLARSSL),
def(UNITTESTS),
def(CURL_DISABLE_HTTP),
!def(HAVE_FSETXATTR),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(HAVE_SETMODE),
def(__EMX__),
def(DISABLE_EXPECT),
def(HAVE_WRITABLE_ARGV),
!def(_LDAP_PVT_H),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(HAVE_FDOPEN),
def(USE_CHUNKED),
def(USE_NSS),
def(ENABLE_IPV6),
!def(CURL_DISABLE_RTSP),
!def(CURL_DISABLE_LDAP),
!def(HAVE_INET_PTON),
def(__riscos__),
!def(CURL_DISABLE_HTTP),
def(LIB1502),
def(SIGPIPE),
!def(DEBUGBUILD),
(def(WIN32)&!def(__AMIGA__)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(DEBUGBUILD),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(LIB1503),
def(MEMDEBUG_LOG_SYNC),
!def(HAVE_INET_NTOP),
def(SIGHUP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_NGHTTP2),
def(HAVE_SOCKETPAIR),
!def(HAVE_GSSAPI),
def(CURL_DO_LINEEND_CONV),
!def(CURL_DISABLE_TELNET),
def(SIGALRM),
True,
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(CURL_DOES_CONVERSIONS),
!def(HAVE_GETPASS_R),
