(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
!def(CURL_DISABLE_RTSP),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(HAVE_PIPE),
def(DISABLE_EXPECT),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_INET_NTOP),
!def(CURL_DISABLE_FTP),
def(__riscos__),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
def(UNITTESTS),
def(USE_NSS),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(__EMX__),
def(HAVE_GETHOSTNAME),
def(__AMIGA__),
def(CURL_DOES_CONVERSIONS),
def(USE_POLARSSL),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
!def(__EMX__),
def(ENABLE_IPV6),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
def(LIB585),
!def(_LDAP_PVT_H),
def(USE_LIBRTMP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(HAVE_INET_PTON),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(CURLDEBUG),
(def(WIN32)&!def(__AMIGA__)),
!def(DEBUGBUILD),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(USE_WINDOWS_SSPI),
def(USE_CYASSL),
!def(CURL_DISABLE_TELNET),
True,
(def(__AMIGA__)&!def(__libnix__)),
!def(CURL_DISABLE_TFTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_PROXY),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_GOPHER),
def(HAVE_SETMODE),
!def(CURL_DISABLE_HTTP),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(TIME_WITH_SYS_TIME),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(HAVE_WRITABLE_ARGV),
(!def(_WIN32_WCE)&!def(WIN32)),
def(USE_CHUNKED),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(CURL_DOES_CONVERSIONS),
def(HAVE_FSETXATTR),
def(CURL_DISABLE_HTTP),
(def(WIN32)&!def(_WIN32_WCE)),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_LDAP),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
!def(CURL_DISABLE_DICT),
!def(HAVE_STRTOK_R),
def(DEBUGBUILD),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_MEMRCHR),
def(__VMS),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
