!def(HAVE_INET_PTON),
!def(HAVE_FSETXATTR),
def(HAVE_SETMODE),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
!def(CURL_DISABLE_TFTP),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(UNITTESTS),
def(__EMX__),
!def(CURL_DISABLE_GOPHER),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(_LDAP_PVT_H),
def(CURL_DOES_CONVERSIONS),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
def(DEBUGBUILD),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_DICT),
def(USE_NSS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(__riscos__),
def(USE_CYASSL),
!def(CURL_DOES_CONVERSIONS),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
!def(DEBUGBUILD),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_HTTP),
def(HAVE_GETHOSTNAME),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(CURL_DISABLE_LDAP),
!def(CURL_DISABLE_TELNET),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
!def(HAVE_INET_NTOP),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(WIN32)&!def(_WIN32_WCE)),
!def(HAVE_MEMRCHR),
def(USE_POLARSSL),
def(__VMS),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(CURLDEBUG),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(__AMIGA__)&!def(__libnix__)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(ENABLE_IPV6),
!def(CURL_DISABLE_PROXY),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
def(HAVE_WRITABLE_ARGV),
def(TIME_WITH_SYS_TIME),
def(HAVE_FSETXATTR),
!def(HAVE_STRTOK_R),
!def(CURL_DISABLE_FTP),
def(__AMIGA__),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
True,
!def(__EMX__),
!def(USE_WINDOWS_SSPI),
def(USE_LIBRTMP),
def(LIB585),
!def(CURL_DISABLE_RTSP),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
