!def(CURL_DISABLE_TFTP),
def(SIGHUP),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(SIGALRM),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_MEMRCHR),
def(CURL_DISABLE_HTTP),
!def(HAVE_GETPASS_R),
def(USE_NSS),
def(USE_NTLM),
def(CURLDEBUG),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(DEBUGBUILD),
!def(DEBUGBUILD),
!def(CURL_DISABLE_PROXY),
(def(WIN32)&!def(_WIN32_WCE)),
def(LIB1503),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(HAVE_SOCKETPAIR),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(SIGPIPE),
def(HAVE_SETMODE),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(__riscos__),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(TIME_WITH_SYS_TIME),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_INET_NTOP),
def(USE_WINDOWS_SSPI),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(__EMX__),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(_LDAP_PVT_H),
!def(CURL_DISABLE_LDAP),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(__VMS),
def(UNITTESTS),
def(USE_LIBRTMP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(HAVE_PIPE),
True,
!def(CURL_DISABLE_TELNET),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(CURLRES_SYNCH),
def(ENABLE_IPV6),
def(USE_POLARSSL),
def(DISABLE_EXPECT),
def(LIB1502),
def(USE_CHUNKED),
def(USE_ENVIRONMENT),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DOES_CONVERSIONS),
def(MEMDEBUG_LOG_SYNC),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(CURL_DISABLE_DICT),
!def(HAVE_INET_PTON),
!def(HAVE_BASENAME),
!def(HAVE_FSETXATTR),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(CURL_DISABLE_GOPHER),
def(HAVE_FDOPEN),
!def(HAVE_STRTOK_R),
def(USE_GNUTLS),
!def(CURL_DISABLE_RTSP),
def(HAVE_FSETXATTR),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(CURL_DOES_CONVERSIONS),
def(__EMX__),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(WIN32)&!def(__AMIGA__)),
def(LIB585),
def(USE_CYASSL),
!def(CURL_DISABLE_HTTP),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
