def(__EMX__),
def(HAVE_SETMODE),
def(HAVE_FSETXATTR_6),
!def(CURL_DISABLE_TELNET),
def(CURL_DISABLE_HTTP),
def(HAVE_GSSAPI),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(WIN32)&!def(_WIN32_WCE)),
!def(CURL_DOES_CONVERSIONS),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(SIGHUP),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(USE_LIBRTMP),
!def(CURL_DISABLE_GOPHER),
def(HAVE_PIPE),
def(__VMS),
def(USE_NSS),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(USE_CYASSL),
def(USE_ENVIRONMENT),
!def(CURL_DISABLE_HTTP),
def(CURLDEBUG),
def(USE_CHUNKED),
def(USE_POLARSSL),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(HAVE_WRITABLE_ARGV),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(TIME_WITH_SYS_TIME),
!def(HAVE_GETPASS_R),
def(MEMDEBUG_LOG_SYNC),
!def(CURL_DISABLE_DICT),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(USE_GNUTLS),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
True,
def(CURL_DOES_CONVERSIONS),
def(USE_NTLM),
!def(HAVE_INET_NTOP),
def(DEBUGBUILD),
!def(HAVE_MEMRCHR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_NGHTTP2),
!def(CURL_DISABLE_RTSP),
def(LIB1503),
def(SIGALRM),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(UNITTESTS),
!def(HAVE_GSSAPI),
!def(__EMX__),
def(HAVE_FDOPEN),
(def(WIN32)&!def(__AMIGA__)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(HAVE_SOCKETPAIR),
def(CURLRES_SYNCH),
def(ENABLE_IPV6),
!def(_LDAP_PVT_H),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(__riscos__),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(CURL_DISABLE_TFTP),
def(HAVE_FSETXATTR),
def(LIB585),
!def(HAVE_STRTOK_R),
def(LIB1502),
!def(HAVE_BASENAME),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(CURL_DO_LINEEND_CONV),
!def(CURL_DISABLE_PROXY),
!def(CURL_DISABLE_LDAP),
def(DISABLE_EXPECT),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(_WIN32_WCE)&!def(WIN32)),
def(USE_WINDOWS_SSPI),
def(SIGPIPE),
!def(DEBUGBUILD),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(HAVE_FSETXATTR),
