def(SIGHUP),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(HAVE_INET_PTON),
def(HAVE_SETMODE),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_DICT),
def(HAVE_GSSAPI),
!def(HAVE_BASENAME),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(CURLRES_SYNCH),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(LIB585),
def(SIGPIPE),
def(CURL_DISABLE_HTTP),
!def(CURL_DOES_CONVERSIONS),
!def(DEBUGBUILD),
def(MEMDEBUG_LOG_SYNC),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_GOPHER),
def(UNITTESTS),
!def(CURL_DISABLE_TFTP),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_GETPASS_R),
True,
def(__riscos__),
!def(HAVE_MEMRCHR),
def(LIB1503),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(USE_NSS),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_PROXY),
def(HAVE_WRITABLE_ARGV),
!def(HAVE_STRTOK_R),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(DEBUGBUILD),
(def(WIN32)&!def(_WIN32_WCE)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(ENABLE_IPV6),
def(SIGALRM),
!def(HAVE_INET_NTOP),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(USE_WINDOWS_SSPI),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_LDAP),
def(USE_POLARSSL),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(_LDAP_PVT_H),
def(HAVE_SOCKETPAIR),
def(HAVE_PIPE),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(HAVE_FDOPEN),
def(LIB1502),
def(TIME_WITH_SYS_TIME),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(CURLDEBUG),
def(USE_GNUTLS),
def(__VMS),
def(USE_NGHTTP2),
def(USE_NTLM),
def(__EMX__),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(HAVE_GSSAPI),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(USE_CHUNKED),
def(HAVE_FSETXATTR_6),
!def(CURL_DISABLE_TELNET),
!def(CURL_DISABLE_RTSP),
!def(HAVE_FSETXATTR),
def(USE_ENVIRONMENT),
def(HAVE_FSETXATTR),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(USE_LIBRTMP),
!def(__EMX__),
def(USE_CYASSL),
def(CURL_DO_LINEEND_CONV),
def(DISABLE_EXPECT),
