!def(HAVE_STRTOK_R),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(ENABLE_IPV6),
def(USE_GNUTLS),
!def(HAVE_INET_NTOP),
!def(HAVE_GETPASS_R),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(__EMX__),
!def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_GOPHER),
!def(HAVE_MEMRCHR),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(WIN32)&!def(_WIN32_WCE)),
def(CURLRES_SYNCH),
!def(HAVE_BASENAME),
def(SIGHUP),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_PROXY),
def(LIB1503),
def(CURL_DISABLE_HTTP),
!def(__EMX__),
!def(CURL_DISABLE_TELNET),
def(MEMDEBUG_LOG_SYNC),
!def(CURL_DISABLE_HTTP),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(DEBUGBUILD),
def(HAVE_FDOPEN),
def(HAVE_FSETXATTR),
def(HAVE_SETMODE),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
True,
!def(CURL_DISABLE_LIBCURL_OPTION),
def(USE_ENVIRONMENT),
def(USE_CHUNKED),
def(DEBUGBUILD),
def(LIB585),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(SIGALRM),
!def(CURL_DISABLE_TFTP),
def(USE_WINDOWS_SSPI),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(SIGPIPE),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(HAVE_PIPE),
!def(HAVE_INET_PTON),
(def(WIN32)&!def(__AMIGA__)),
def(USE_LIBRTMP),
!def(CURL_DISABLE_RTSP),
!def(CURL_DISABLE_DICT),
!def(_LDAP_PVT_H),
def(HAVE_SOCKETPAIR),
def(USE_NSS),
def(USE_CYASSL),
def(__riscos__),
def(USE_NTLM),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(UNITTESTS),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(DISABLE_EXPECT),
def(HAVE_WRITABLE_ARGV),
def(CURLDEBUG),
def(TIME_WITH_SYS_TIME),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(CURL_DOES_CONVERSIONS),
!def(HAVE_FSETXATTR),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_LDAP),
def(LIB1502),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_POLARSSL),
def(__VMS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
