!def(HAVE_GETPASS_R),
def(USE_LIBRTMP),
def(__riscos__),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(USE_CHUNKED),
def(HAVE_SOCKETPAIR),
def(DISABLE_EXPECT),
def(__EMX__),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(__VMS),
def(HAVE_SETMODE),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DISABLE_GOPHER),
def(CURL_DOES_CONVERSIONS),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(DEBUGBUILD),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(SIGHUP),
!def(CURL_DISABLE_TELNET),
!def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(HAVE_FSETXATTR),
def(HAVE_WRITABLE_ARGV),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(USE_CYASSL),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(DEBUGBUILD),
!def(HAVE_INET_PTON),
def(USE_GNUTLS),
def(HAVE_PIPE),
def(LIB1502),
def(USE_ENVIRONMENT),
def(SIGALRM),
def(CURLRES_SYNCH),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_STRTOK_R),
def(USE_NTLM),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(HAVE_BASENAME),
!def(CURL_DISABLE_PROXY),
def(ENABLE_IPV6),
!def(CURL_DISABLE_LDAP),
def(SIGPIPE),
!def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_TFTP),
!def(__EMX__),
!def(HAVE_INET_NTOP),
def(TIME_WITH_SYS_TIME),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(CURLDEBUG),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(LIB585),
(def(WIN32)&!def(_WIN32_WCE)),
!def(HAVE_MEMRCHR),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(HAVE_FDOPEN),
!def(_LDAP_PVT_H),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_FSETXATTR),
True,
!def(CURL_DISABLE_RTSP),
(def(WIN32)&!def(__AMIGA__)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_POLARSSL),
!def(CURL_DISABLE_DICT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(CURL_DISABLE_HTTP),
def(LIB1503),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(USE_WINDOWS_SSPI),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(USE_NSS),
def(MEMDEBUG_LOG_SYNC),
def(UNITTESTS),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
