!def(HAVE_BASENAME),
!def(HAVE_GETPASS_R),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(HAVE_PIPE),
True,
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(_WIN32_WCE)&!def(WIN32)),
def(CURLRES_SYNCH),
def(SIGPIPE),
def(LIB1503),
def(USE_NTLM),
!def(CURL_DISABLE_CRYPTO_AUTH),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_TFTP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(DEBUGBUILD),
def(CURL_DISABLE_HTTP),
def(ENABLE_IPV6),
def(HAVE_FSETXATTR),
!def(CURL_DISABLE_TELNET),
def(USE_CYASSL),
def(USE_NSS),
def(USE_LIBRTMP),
def(HAVE_FDOPEN),
!def(CURL_DISABLE_DICT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(__VMS),
def(__riscos__),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(LIB1502),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_GOPHER),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(HAVE_WRITABLE_ARGV),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(USE_GNUTLS),
def(HAVE_SOCKETPAIR),
def(TIME_WITH_SYS_TIME),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(USE_POLARSSL),
def(USE_ENVIRONMENT),
(def(WIN32)&!def(__AMIGA__)),
def(CURLDEBUG),
def(HAVE_SETMODE),
!def(CURL_DISABLE_PROXY),
def(UNITTESTS),
!def(CURL_DISABLE_LDAP),
!def(HAVE_INET_PTON),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_RTSP),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(USE_WINDOWS_SSPI),
def(SIGALRM),
(def(WIN32)&!def(_WIN32_WCE)),
def(USE_CHUNKED),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(HAVE_INET_NTOP),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(DEBUGBUILD),
def(MEMDEBUG_LOG_SYNC),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(__EMX__),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(__EMX__),
def(SIGHUP),
!def(HAVE_STRTOK_R),
!def(_LDAP_PVT_H),
def(LIB585),
!def(CURL_DISABLE_HTTP),
!def(CURL_DOES_CONVERSIONS),
!def(HAVE_MEMRCHR),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(CURL_DOES_CONVERSIONS),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(DISABLE_EXPECT),
