!def(CURL_DISABLE_LDAP),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_CYASSL),
(def(WIN32)&!def(_WIN32_WCE)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_LIBRTMP),
def(HAVE_WRITABLE_ARGV),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(USE_NSS),
!def(CURL_DISABLE_RTSP),
(def(WIN32)&!def(__AMIGA__)),
def(__EMX__),
def(HAVE_GETHOSTNAME),
!def(CURL_DOES_CONVERSIONS),
def(__VMS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_PIPE),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_DICT),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(UNITTESTS),
def(TIME_WITH_SYS_TIME),
def(CURLDEBUG),
def(HAVE_FSETXATTR),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
def(__AMIGA__),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
!def(_LDAP_PVT_H),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(USE_POLARSSL),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
True,
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
!def(CURL_DISABLE_TELNET),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(DEBUGBUILD),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(__EMX__),
!def(HAVE_STRTOK_R),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
!def(HAVE_FSETXATTR),
!def(DEBUGBUILD),
def(HAVE_SETMODE),
(def(__AMIGA__)&!def(__libnix__)),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_FTP),
!def(HAVE_INET_NTOP),
def(ENABLE_IPV6),
!def(CURL_DISABLE_TFTP),
!def(HAVE_MEMRCHR),
!def(HAVE_INET_PTON),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_GOPHER),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(USE_WINDOWS_SSPI),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
!def(CURL_DISABLE_PROXY),
def(LIB585),
def(DISABLE_EXPECT),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_HTTP),
def(__riscos__),
def(USE_CHUNKED),
!def(CURL_DISABLE_LIBCURL_OPTION),
