!def(CURL_DISABLE_CRYPTO_AUTH),
def(USE_GNUTLS),
def(USE_ENVIRONMENT),
(def(WIN32)&!def(_WIN32_WCE)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(__EMX__),
def(MEMDEBUG_LOG_SYNC),
def(DISABLE_EXPECT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(USE_LIBRTMP),
def(UNITTESTS),
def(SIGPIPE),
def(LIB585),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(CURL_DO_LINEEND_CONV),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(CURL_DISABLE_DICT),
!def(CURL_DISABLE_LDAP),
def(LIB1503),
(def(WIN32)&!def(__AMIGA__)),
def(CURL_DOES_CONVERSIONS),
(def(HAVE_PIPE)&!def(UNITTESTS)),
def(SIGHUP),
!def(CURL_DOES_CONVERSIONS),
def(__EMX__),
def(USE_POLARSSL),
def(USE_NSS),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(USE_CYASSL),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(DEBUGBUILD),
!def(UNITTESTS),
!def(HAVE_STRTOK_R),
!def(_LDAP_PVT_H),
True,
def(HAVE_FDOPEN),
!def(CURL_DISABLE_GOPHER),
!def(HAVE_GETPASS_R),
!def(HAVE_INET_PTON),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(HAVE_GSSAPI),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_SOCKETPAIR),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(HAVE_GSSAPI),
!def(DEBUGBUILD),
def(HAVE_FSETXATTR_6),
!def(HAVE_MEMRCHR),
!def(CURL_DISABLE_RTSP),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(HAVE_FSETXATTR),
def(CURL_DISABLE_HTTP),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(USE_NGHTTP2),
!def(CURL_DISABLE_TELNET),
!def(HAVE_FSETXATTR),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
!def(USE_WIN32_IDN),
!def(CURL_DISABLE_TFTP),
def(TIME_WITH_SYS_TIME),
def(ENABLE_IPV6),
def(__riscos__),
def(HAVE_WRITABLE_ARGV),
def(USE_CHUNKED),
!def(CURL_DISABLE_PROXY),
def(SIGALRM),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
def(LIB1502),
def(__VMS),
!def(HAVE_BASENAME),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_INET_NTOP),
def(CURLRES_SYNCH),
(def(__VMS)&!def(HAVE_GETPASS_R)),
