!def(CURL_DISABLE_PROXY),
!def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_DICT),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_TFTP),
def(USE_GNUTLS),
def(LIB1502),
True,
!def(HAVE_INET_PTON),
def(USE_ENVIRONMENT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_FSETXATTR_6),
def(USE_LIBRTMP),
!def(_LDAP_PVT_H),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(HAVE_SETMODE),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_INET_NTOP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_POLARSSL),
!def(HAVE_GSSAPI),
def(USE_CYASSL),
def(USE_WINDOWS_SSPI),
!def(HAVE_MEMRCHR),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(USE_NGHTTP2),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(SIGPIPE),
def(USE_NSS),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(UNITTESTS),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
def(LIB1503),
!def(CURL_DISABLE_HTTP),
def(LIB585),
def(CURLRES_SYNCH),
def(ENABLE_IPV6),
!def(DEBUGBUILD),
def(HAVE_WRITABLE_ARGV),
def(USE_CHUNKED),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(WIN32)&!def(__AMIGA__)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(__riscos__),
def(HAVE_SOCKETPAIR),
(!def(_WIN32_WCE)&!def(WIN32)),
def(__EMX__),
!def(HAVE_GETPASS_R),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_LDAP),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(HAVE_FSETXATTR),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(HAVE_FDOPEN),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_TELNET),
def(HAVE_GSSAPI),
def(TIME_WITH_SYS_TIME),
!def(HAVE_STRTOK_R),
!def(CURL_DISABLE_RTSP),
def(MEMDEBUG_LOG_SYNC),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(SIGHUP),
!def(CURL_DISABLE_GOPHER),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(def(HAVE_PIPE)&!def(UNITTESTS)),
def(UNITTESTS),
def(SIGALRM),
def(CURL_DISABLE_HTTP),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(WIN32)&!def(_WIN32_WCE)),
def(__VMS),
def(DISABLE_EXPECT),
!def(__EMX__),
def(DEBUGBUILD),
!def(HAVE_BASENAME),
