!def(CURL_DISABLE_GOPHER),
def(__EMX__),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(HAVE_FSETXATTR),
!def(DEBUGBUILD),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(CURL_DOES_CONVERSIONS),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_TELNET),
def(CURL_DISABLE_HTTP),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
True,
def(USE_LIBRTMP),
def(USE_POLARSSL),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_LDAP),
!def(HAVE_INET_NTOP),
(!def(_WIN32_WCE)&!def(WIN32)),
def(HAVE_SETMODE),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
!def(__EMX__),
!def(HAVE_STRTOK_R),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(HAVE_FSETXATTR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_GETHOSTNAME),
(def(__AMIGA__)&!def(__libnix__)),
!def(CURL_DISABLE_RTSP),
!def(CURL_DISABLE_HTTP),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
!def(_LDAP_PVT_H),
!def(CURL_DISABLE_FTP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(CURL_DISABLE_TFTP),
def(ENABLE_IPV6),
!def(CURL_DOES_CONVERSIONS),
!def(HAVE_MEMRCHR),
(def(WIN32)&!def(_WIN32_WCE)),
def(__riscos__),
def(LIB585),
def(__VMS),
def(__AMIGA__),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
def(DEBUGBUILD),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(TIME_WITH_SYS_TIME),
def(UNITTESTS),
!def(CURL_DISABLE_DICT),
!def(HAVE_INET_PTON),
def(USE_NSS),
def(CURLDEBUG),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
def(USE_CYASSL),
!def(CURL_DISABLE_PROXY),
!def(USE_WINDOWS_SSPI),
