!def(CURL_DISABLE_LDAP),
!def(CURL_DISABLE_PROXY),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(CURL_DISABLE_HTTP),
def(__riscos__),
def(CURLRES_SYNCH),
!def(__EMX__),
def(LIB1503),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(WIN32)&!def(_WIN32_WCE)),
def(HAVE_WRITABLE_ARGV),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(__VMS),
!def(HAVE_BASENAME),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(HAVE_FSETXATTR_6),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(ENABLE_IPV6),
def(CURL_DOES_CONVERSIONS),
!def(HAVE_FSETXATTR),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(USE_NSS),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(LIB585),
!def(DEBUGBUILD),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(HAVE_GSSAPI),
!def(HAVE_MEMRCHR),
def(UNITTESTS),
(def(HAVE_PIPE)&!def(UNITTESTS)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_CRYPTO_AUTH),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_TELNET),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(USE_ENVIRONMENT),
!def(UNITTESTS),
def(HAVE_GSSAPI),
def(DEBUGBUILD),
def(__EMX__),
def(USE_LIBRTMP),
def(LIB1502),
!def(CURL_DISABLE_DICT),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_GETPASS_R),
def(HAVE_FDOPEN),
def(USE_GNUTLS),
True,
!def(HAVE_INET_PTON),
def(USE_NGHTTP2),
!def(CURL_DISABLE_RTSP),
!def(CURL_DISABLE_HTTP),
def(HAVE_SOCKETPAIR),
def(USE_CYASSL),
!def(CURL_DISABLE_TFTP),
def(HAVE_SETMODE),
!def(HAVE_INET_NTOP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(TIME_WITH_SYS_TIME),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(MEMDEBUG_LOG_SYNC),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(HAVE_FSETXATTR),
def(USE_POLARSSL),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(USE_CHUNKED),
!def(HAVE_STRTOK_R),
def(SIGPIPE),
!def(CURL_DOES_CONVERSIONS),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(_LDAP_PVT_H),
!def(CURL_DISABLE_GOPHER),
def(SIGHUP),
def(SIGALRM),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(DISABLE_EXPECT),
def(CURL_DO_LINEEND_CONV),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
