!def(CURL_DISABLE_TELNET),
def(HAVE_PIPE),
def(CURL_DISABLE_HTTP),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(WIN32)&!def(_WIN32_WCE)),
!def(DEBUGBUILD),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(USE_ENVIRONMENT),
!def(HAVE_STRTOK_R),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(__riscos__),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(CURL_DISABLE_DICT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(LIB585),
True,
!def(_LDAP_PVT_H),
def(USE_POLARSSL),
def(TIME_WITH_SYS_TIME),
def(USE_NTLM),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(HAVE_FSETXATTR),
!def(HAVE_GETPASS_R),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_HTTP),
def(CURLDEBUG),
def(CURL_DOES_CONVERSIONS),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(CURL_DISABLE_TFTP),
def(USE_NSS),
!def(HAVE_INET_PTON),
def(USE_GNUTLS),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_WINDOWS_SSPI),
!def(HAVE_INET_NTOP),
def(USE_LIBRTMP),
def(USE_CHUNKED),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(HAVE_WRITABLE_ARGV),
(def(WIN32)&!def(__AMIGA__)),
def(UNITTESTS),
!def(__EMX__),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(HAVE_FSETXATTR),
def(__EMX__),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(LIB1503),
!def(CURL_DOES_CONVERSIONS),
def(ENABLE_IPV6),
!def(CURL_DISABLE_PROXY),
def(DISABLE_EXPECT),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(MEMDEBUG_LOG_SYNC),
!def(HAVE_MEMRCHR),
!def(CURL_DISABLE_GOPHER),
def(CURLRES_SYNCH),
!def(HAVE_BASENAME),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(HAVE_SOCKETPAIR),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(HAVE_FDOPEN),
def(__VMS),
def(HAVE_SETMODE),
!def(CURL_DISABLE_RTSP),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_CYASSL),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(LIB1502),
!def(CURL_DISABLE_LDAP),
!def(CURL_DISABLE_CRYPTO_AUTH),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(DEBUGBUILD),
