!def(CURL_DOES_CONVERSIONS),
(def(USE_NSS)&def(USE_NTLM)),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_PROXY),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(LIB1503),
!def(HAVE_MEMRCHR),
def(USE_GNUTLS),
def(HAVE_WRITABLE_ARGV),
def(__riscos__),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(__EMX__),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(HAVE_GSSAPI),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_RTSP),
def(HAVE_SOCKETPAIR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(HAVE_GSSAPI),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(CURL_DISABLE_TFTP),
def(TIME_WITH_SYS_TIME),
def(USE_CYASSL),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(SIGALRM),
!def(CURL_DISABLE_GOPHER),
def(CURLRES_SYNCH),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_GETPASS_R),
!def(CURL_DISABLE_TELNET),
def(USE_POLARSSL),
!def(UNITTESTS),
def(CURL_DISABLE_HTTP),
def(SIGPIPE),
def(USE_ENVIRONMENT),
def(USE_NTLM),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(USE_NSS),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(HAVE_PIPE)&!def(UNITTESTS)),
def(DEBUGBUILD),
def(__EMX__),
def(USE_LIBRTMP),
!def(HAVE_BASENAME),
!def(HAVE_STRTOK_R),
!def(_LDAP_PVT_H),
def(UNITTESTS),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(USE_WINDOWS_SSPI),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(HAVE_FSETXATTR_6),
!def(HAVE_INET_NTOP),
def(USE_NGHTTP2),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(MEMDEBUG_LOG_SYNC),
def(HAVE_FSETXATTR),
!def(CURL_DISABLE_HTTP),
def(ENABLE_IPV6),
def(USE_CHUNKED),
def(DISABLE_EXPECT),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(LIB585),
(def(WIN32)&!def(_WIN32_WCE)),
def(HAVE_FDOPEN),
(def(WIN32)&!def(__AMIGA__)),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
!def(CURL_DISABLE_LDAP),
def(SIGHUP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(LIB1502),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
True,
!def(CURL_DISABLE_DICT),
def(HAVE_SETMODE),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(__VMS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(CURL_DOES_CONVERSIONS),
!def(DEBUGBUILD),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
