!def(CURL_DISABLE_CRYPTO_AUTH),
def(__VMS),
def(LIB1502),
def(MEMDEBUG_LOG_SYNC),
!def(CURL_DISABLE_PROXY),
def(USE_NSS),
!def(CURL_DISABLE_TELNET),
def(USE_ENVIRONMENT),
!def(_LDAP_PVT_H),
def(HAVE_SOCKETPAIR),
def(USE_CYASSL),
!def(HAVE_INET_NTOP),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(CURLRES_SYNCH),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(__EMX__),
!def(CURL_DOES_CONVERSIONS),
def(HAVE_WRITABLE_ARGV),
def(USE_NTLM),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(LIB1503),
def(USE_POLARSSL),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(HAVE_FSETXATTR),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(__riscos__),
def(ENABLE_IPV6),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_MEMRCHR),
def(CURLDEBUG),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(__EMX__),
!def(HAVE_BASENAME),
!def(DEBUGBUILD),
!def(CURL_DISABLE_GOPHER),
(def(WIN32)&!def(_WIN32_WCE)),
def(CURL_DOES_CONVERSIONS),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_LDAP),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(SIGHUP),
!def(HAVE_FSETXATTR),
def(UNITTESTS),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_RTSP),
def(SIGALRM),
!def(HAVE_GETPASS_R),
!def(HAVE_STRTOK_R),
def(LIB585),
def(DISABLE_EXPECT),
def(HAVE_PIPE),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(HAVE_SETMODE),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(CURL_DISABLE_DICT),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_GNUTLS),
True,
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(CURL_DISABLE_TFTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(USE_LIBRTMP),
def(SIGPIPE),
(def(WIN32)&!def(__AMIGA__)),
(!def(_WIN32_WCE)&!def(WIN32)),
def(DEBUGBUILD),
def(USE_CHUNKED),
def(USE_WINDOWS_SSPI),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(TIME_WITH_SYS_TIME),
def(HAVE_FDOPEN),
