!def(CURL_DISABLE_GOPHER),
!def(CURL_DISABLE_DICT),
def(SIGHUP),
def(DISABLE_EXPECT),
def(SIGALRM),
def(__riscos__),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(UNITTESTS),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DISABLE_HTTP),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(DEBUGBUILD),
def(HAVE_FSETXATTR),
!def(HAVE_INET_NTOP),
!def(CURL_DISABLE_PROXY),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(LIB585),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_RTSP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_MEMRCHR),
!def(HAVE_GETPASS_R),
def(LIB1502),
def(LIB1503),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(USE_GNUTLS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(USE_NSS),
!def(CURL_DOES_CONVERSIONS),
def(CURLRES_SYNCH),
def(MEMDEBUG_LOG_SYNC),
True,
def(HAVE_SOCKETPAIR),
def(HAVE_FSETXATTR_6),
def(DEBUGBUILD),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(UNITTESTS),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(USE_CHUNKED),
def(CURL_DO_LINEEND_CONV),
def(USE_CYASSL),
!def(USE_WIN32_IDN),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(ENABLE_IPV6),
!def(HAVE_INET_PTON),
def(USE_POLARSSL),
def(HAVE_FDOPEN),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(USE_LIBRTMP),
def(__EMX__),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(CURL_DISABLE_TFTP),
!def(CURL_DISABLE_LDAP),
def(USE_ENVIRONMENT),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(USE_NGHTTP2),
!def(_LDAP_PVT_H),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
(def(WIN32)&!def(__AMIGA__)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(__VMS),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_TELNET),
!def(HAVE_BASENAME),
(def(HAVE_PIPE)&!def(UNITTESTS)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(__EMX__),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(TIME_WITH_SYS_TIME),
def(HAVE_WRITABLE_ARGV),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(HAVE_STRTOK_R),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(SIGPIPE),
!def(HAVE_GSSAPI),
def(HAVE_GSSAPI),
