def(HAVE_FDOPEN),
def(CURLDEBUG),
!def(_LDAP_PVT_H),
!def(CURL_DISABLE_HTTP),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(WIN32)&!def(_WIN32_WCE)),
def(LIB585),
def(__VMS),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(LIB1502),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_TELNET),
!def(HAVE_FSETXATTR),
def(CURL_DOES_CONVERSIONS),
def(DISABLE_EXPECT),
def(DEBUGBUILD),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_LDAP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_GOPHER),
def(ENABLE_IPV6),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(USE_CHUNKED),
def(MEMDEBUG_LOG_SYNC),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(__riscos__),
!def(CURL_DOES_CONVERSIONS),
def(USE_POLARSSL),
def(HAVE_PIPE),
def(LIB1503),
def(USE_LIBRTMP),
def(HAVE_SETMODE),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(SIGHUP),
!def(CURL_DISABLE_RTSP),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(USE_GNUTLS),
True,
def(SIGPIPE),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(HAVE_STRTOK_R),
def(USE_CYASSL),
!def(HAVE_BASENAME),
def(USE_ENVIRONMENT),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_NTLM),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_INET_NTOP),
def(UNITTESTS),
def(__EMX__),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(USE_NSS),
def(HAVE_FSETXATTR),
!def(DEBUGBUILD),
def(CURL_DISABLE_HTTP),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(HAVE_MEMRCHR),
!def(CURL_DISABLE_DICT),
def(CURLRES_SYNCH),
def(SIGALRM),
!def(CURL_DISABLE_PROXY),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(__EMX__),
!def(HAVE_GETPASS_R),
def(HAVE_SOCKETPAIR),
def(TIME_WITH_SYS_TIME),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_TFTP),
def(USE_WINDOWS_SSPI),
