!def(CURL_DISABLE_DICT),
def(HAVE_SETMODE),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(USE_CHUNKED),
def(CURLRES_SYNCH),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(UNITTESTS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(LIB1503),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(__riscos__),
def(DEBUGBUILD),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(USE_NGHTTP2),
def(ENABLE_IPV6),
def(USE_ENVIRONMENT),
def(USE_NSS),
def(HAVE_FDOPEN),
!def(CURL_DISABLE_TFTP),
!def(CURL_DISABLE_CRYPTO_AUTH),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
True,
!def(HAVE_GETPASS_R),
def(HAVE_WRITABLE_ARGV),
(!def(_WIN32_WCE)&!def(WIN32)),
def(HAVE_GSSAPI),
!def(HAVE_INET_PTON),
def(LIB585),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(TIME_WITH_SYS_TIME),
!def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_RTSP),
!def(CURL_DISABLE_TELNET),
def(SIGPIPE),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(__VMS),
def(LIB1502),
!def(HAVE_STRTOK_R),
!def(CURL_DISABLE_LDAP),
def(UNITTESTS),
!def(HAVE_GSSAPI),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(_LDAP_PVT_H),
def(MEMDEBUG_LOG_SYNC),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(HAVE_FSETXATTR),
!def(HAVE_MEMRCHR),
!def(HAVE_BASENAME),
def(CURL_DISABLE_HTTP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(SIGHUP),
def(__EMX__),
def(SIGALRM),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(HAVE_SOCKETPAIR),
!def(__EMX__),
(def(WIN32)&!def(__AMIGA__)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(CURL_DOES_CONVERSIONS),
!def(HAVE_INET_NTOP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(USE_WINDOWS_SSPI),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
(def(HAVE_PIPE)&!def(UNITTESTS)),
def(USE_LIBRTMP),
def(DISABLE_EXPECT),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(WIN32)&!def(_WIN32_WCE)),
!def(CURL_DISABLE_GOPHER),
def(USE_GNUTLS),
!def(CURL_DISABLE_HTTP),
def(USE_POLARSSL),
def(HAVE_FSETXATTR),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(USE_CYASSL),
!def(CURL_DISABLE_PROXY),
!def(DEBUGBUILD),
def(HAVE_FSETXATTR_6),
