!def(HAVE_BASENAME),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(HAVE_WRITABLE_ARGV),
def(__VMS),
!def(UNITTESTS),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
def(USE_NSS),
def(HAVE_SOCKETPAIR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(ENABLE_IPV6),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(CURL_DISABLE_RTSP),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(DEBUGBUILD),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_STRTOK_R),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(USE_WINDOWS_SSPI),
def(CURLRES_SYNCH),
def(USE_LIBRTMP),
!def(HAVE_INET_PTON),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(USE_GNUTLS),
!def(HAVE_MEMRCHR),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(HAVE_FSETXATTR_6),
def(LIB1503),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(HAVE_GETPASS_R),
!def(CURL_DISABLE_LDAP),
def(HAVE_FDOPEN),
def(CURL_DISABLE_HTTP),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(CURL_DO_LINEEND_CONV),
def(__riscos__),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(SIGALRM),
def(HAVE_SETMODE),
!def(HAVE_GSSAPI),
def(USE_CHUNKED),
!def(HAVE_INET_NTOP),
def(HAVE_GSSAPI),
def(LIB585),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(!def(_WIN32_WCE)&!def(WIN32)),
def(__EMX__),
!def(CURL_DISABLE_DICT),
def(CURL_DOES_CONVERSIONS),
def(HAVE_FSETXATTR),
!def(CURL_DOES_CONVERSIONS),
def(LIB1502),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_GOPHER),
!def(_LDAP_PVT_H),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(USE_CYASSL),
True,
def(USE_POLARSSL),
!def(CURL_DISABLE_TELNET),
def(USE_NGHTTP2),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(MEMDEBUG_LOG_SYNC),
!def(CURL_DISABLE_PROXY),
(def(HAVE_PIPE)&!def(UNITTESTS)),
!def(__EMX__),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_ENVIRONMENT),
def(TIME_WITH_SYS_TIME),
def(SIGPIPE),
def(UNITTESTS),
def(DISABLE_EXPECT),
(def(WIN32)&!def(__AMIGA__)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_FSETXATTR),
def(SIGHUP),
!def(CURL_DISABLE_TFTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(DEBUGBUILD),
