def(USE_NTLM),
!def(HAVE_INET_NTOP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(USE_LIBRTMP),
def(HAVE_SOCKETPAIR),
def(CURL_DOES_CONVERSIONS),
def(CURLDEBUG),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(HAVE_STRTOK_R),
def(HAVE_GSSAPI),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(__VMS),
def(HAVE_FDOPEN),
def(DISABLE_EXPECT),
!def(CURL_DISABLE_RTSP),
!def(UNITTESTS),
!def(CURL_DISABLE_PROXY),
def(SIGHUP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(LIB1503),
!def(HAVE_MEMRCHR),
def(MEMDEBUG_LOG_SYNC),
!def(CURL_DISABLE_LIBCURL_OPTION),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(_LDAP_PVT_H),
def(DEBUGBUILD),
def(HAVE_WRITABLE_ARGV),
!def(HAVE_BASENAME),
def(USE_WINDOWS_SSPI),
def(LIB585),
!def(CURL_DISABLE_DICT),
def(USE_CHUNKED),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_FSETXATTR),
def(ENABLE_IPV6),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(HAVE_SETMODE),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(__riscos__),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
!def(CURL_DISABLE_GOPHER),
def(USE_GNUTLS),
def(USE_CYASSL),
(def(__VMS)&!def(UNITTESTS)),
def(USE_NGHTTP2),
!def(CURL_DISABLE_LDAP),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(WIN32)&!def(__AMIGA__)),
def(SIGPIPE),
!def(HAVE_GSSAPI),
!def(__EMX__),
!def(CURL_DISABLE_TFTP),
(def(USE_NSS)&def(USE_NTLM)),
!def(HAVE_GETPASS_R),
def(HAVE_FSETXATTR_6),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(UNITTESTS),
def(__EMX__),
def(USE_ENVIRONMENT),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(_WIN32_WCE)&!def(WIN32)),
def(TIME_WITH_SYS_TIME),
def(HAVE_FSETXATTR),
(def(HAVE_PIPE)&!def(UNITTESTS)),
!def(DEBUGBUILD),
!def(HAVE_INET_PTON),
def(SIGALRM),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(CURLRES_SYNCH),
def(LIB1502),
True,
def(USE_NSS),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_POLARSSL),
!def(CURL_DISABLE_TELNET),
!def(CURL_DISABLE_HTTP),
!def(CURL_DOES_CONVERSIONS),
(def(WIN32)&!def(_WIN32_WCE)),
def(CURL_DISABLE_HTTP),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
