def(HAVE_WRITABLE_ARGV),
def(CURL_DOES_CONVERSIONS),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(__EMX__),
!def(CURL_DISABLE_DICT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(CURLDEBUG),
!def(CURL_DISABLE_PROXY),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
def(HAVE_FSETXATTR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(_WIN32_WCE)&!def(WIN32)),
def(HAVE_PIPE),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(HAVE_STRTOK_R),
def(UNITTESTS),
(def(__AMIGA__)&!def(__libnix__)),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
(def(WIN32)&!def(_WIN32_WCE)),
!def(__EMX__),
def(HAVE_GETHOSTNAME),
def(USE_NSS),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_FTP),
def(__AMIGA__),
!def(CURL_DISABLE_GOPHER),
def(__riscos__),
def(CURL_DISABLE_HTTP),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
def(USE_LIBRTMP),
!def(CURL_DISABLE_LDAP),
def(USE_CHUNKED),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
!def(CURL_DISABLE_TELNET),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
!def(HAVE_INET_NTOP),
!def(_LDAP_PVT_H),
def(HAVE_SETMODE),
def(USE_POLARSSL),
!def(CURL_DOES_CONVERSIONS),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(DEBUGBUILD),
!def(HAVE_MEMRCHR),
def(USE_NTLM),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(DEBUGBUILD),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(CURL_DISABLE_TFTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_RTSP),
def(TIME_WITH_SYS_TIME),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(HAVE_FSETXATTR),
def(ENABLE_IPV6),
def(DISABLE_EXPECT),
!def(HAVE_INET_PTON),
!def(USE_WINDOWS_SSPI),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
True,
def(LIB585),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_CYASSL),
def(__VMS),
