!def(CURL_DISABLE_RTSP),
!def(CURL_DISABLE_TFTP),
(def(HAVE_PIPE)&!def(UNITTESTS)),
(def(WIN32)&!def(_WIN32_WCE)),
def(SIGPIPE),
def(HAVE_FDOPEN),
def(HAVE_FSETXATTR_6),
def(USE_LIBRTMP),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
!def(CURL_DISABLE_GOPHER),
def(USE_CYASSL),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(MEMDEBUG_LOG_SYNC),
def(HAVE_GSSAPI),
def(__riscos__),
def(CURLRES_SYNCH),
def(CURL_DOES_CONVERSIONS),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_CRYPTO_AUTH),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(UNITTESTS),
def(__EMX__),
def(SIGHUP),
def(USE_POLARSSL),
def(UNITTESTS),
def(SIGALRM),
!def(HAVE_INET_NTOP),
!def(DEBUGBUILD),
def(TIME_WITH_SYS_TIME),
!def(HAVE_BASENAME),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(CURL_DISABLE_LDAP),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(__VMS),
def(LIB585),
!def(CURL_DISABLE_DICT),
def(HAVE_FSETXATTR),
!def(CURL_DOES_CONVERSIONS),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(HAVE_STRTOK_R),
def(USE_CHUNKED),
def(USE_WINDOWS_SSPI),
!def(HAVE_GETPASS_R),
def(HAVE_WRITABLE_ARGV),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_GNUTLS),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(WIN32)&!def(__AMIGA__)),
def(DEBUGBUILD),
!def(HAVE_GSSAPI),
def(DISABLE_EXPECT),
!def(CURL_DISABLE_HTTP),
!def(HAVE_MEMRCHR),
def(HAVE_SOCKETPAIR),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(HAVE_FSETXATTR),
def(USE_ENVIRONMENT),
!def(__EMX__),
!def(CURL_DISABLE_TELNET),
def(CURL_DISABLE_HTTP),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(LIB1502),
!def(HAVE_INET_PTON),
def(ENABLE_IPV6),
def(USE_NSS),
!def(_LDAP_PVT_H),
def(LIB1503),
def(USE_NGHTTP2),
True,
!def(CURL_DISABLE_PROXY),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(HAVE_SETMODE),
